Company Name,Headquarters,Established Date,Site Count,Financial Sponsor,States,Website,,,,,,,,,,,,,,,,,,,
Whistle Express Car Wash,North Carolina,2014,530,Oaktree Capital Management LP,South Carolina | North Carolina | Georgia | Florida | Virginia | Ohio | Alabama | Tennessee | Kentucky | Indiana | Alaska | Arkansas | Colorado | Illinois | Kansas | Louisiana | Michigan | Mississippi | Missouri | New Mexico | Oklahoma | Texas | Utah | West Virginia | Wisconsin,https://whistleexpresscarwash.com/,,,,,,,,,,,,,,,,,,,
Mister Car Wash,Arizona,1969,501,Publicly Traded,Texas | Florida | Arizona | Utah | Pennsylvania | Georgia | New Mexico | Minnesota | Michigan | Washington | Alabama | California | Wisconsin | Missouri | Idaho | Tennessee | Iowa | Maryland | Colorado | Mississippi | Illinois,https://mistercarwash.com/,,,,,,,,,,,,,,,,,,,
Tidal Wave Auto Spa,Georgia,1999,290,Golden Gate Capital,Montana | North Dakota | Nebraska | Minnesota | Iowa | Ohio | Kentucky | Oklahoma | Tennessee | Virginia | North Carolina | Georgia | Florida | Alabama | Mississippi | Texas | New York | Kansas | Idaho | Illinois | Indiana | Michigan | New Mexico | Pennsylvania | West Virginia | Wisconsin | Missouri | Arkansas | South Dakota,https://www.tidalwaveautospa.com/,,,,,,,,,,,,,,,,,,,
Quick Quack Express Car Wash,California,2004,275,KKR,Texas | Colorado | Utah | Arizona | California,https://www.dontdrivedirty.com/,,,,,,,,,,,,,,,,,,,
Club Car Wash,Missouri,2006,213,Wildcat Capital Management,Texas | Oklahoma | Kansas | Arkansas | Missouri | Iowa | Nebraska | Wisconsin | Colorado | Illinois,https://clubcarwash.com/,,,,,,,,,,,,,,,,,,,
Tommy�s Express Car Wash,Michigan,2011,206,None,Florida | Georgia | South Carolina | North Carolina | Louisiana | Tennessee | Mississippi | Virginia | Kentucky | Maryland | Indiana | Arkansas | Delaware | Texas | Pennsylvania | Missouri | Oklahoma | Michigan | Illinois | Iowa | Kansas | New York | Wisconsin | Nebraska | Minnesota | Colorado | South Dakota | North Dakota | Wyoming | Utah | Nevada | Idaho | California | Alaska | Washington,https://tommys-express.com/,,,,,,,,,,,,,,,,,,,
Spotless Brands,Illinois,2019,205,Access Holdings,Arizona | Colorado | Oklahoma | Maryland | Tennessee | Virginia | West Virginia,https://www.spotlessbrands.com/,,,,,,,,,,,,,,,,,,,
GO Car Wash,Colorado,2019,154,Imperial Capital,Kansas | Missouri | Nevada | New York | Texas | Virginia | California,https://gocarwash.com/,,,,,,,,,,,,,,,,,,,
Mammoth Holdings LLC,Georgia,2002,150,Red Dog Equity and CCMP Growth Advisors,Georgia | Alabama | Kentucky | Illinois | Utah | South Carolina | Mississippi | Louisiana | Tennessee | North Dakota | Iowa | Florida | Minnesota | Missouri | South Dakota | Texas | West Virginia,https://mammothholdings.com/,,,,,,,,,,,,,,,,,,,
WhiteWater Express Car Wash,Texas,2015,130,Freeman Spogil & Co.,Texas | Oklahoma | Louisiana | Kentucky | Ohio | Michigan,https://www.whitewatercw.com/,,,,,,,,,,,,,,,,,,,
ModWash,Tennessee,2020,120,Hutton,Alabama | Florida | Georgia | Maryland | New Jersey | North Carolina | Ohio | Pennsylvania | South Carolina | Tennessee | Virginia | Delaware,https://www.modwash.com/,,,,,,,,,,,,,,,,,,,
Express Wash Concepts,Ohio,2018,115,Wildcat Capital Management,Ohio | Virginia | Pennsylvania | North Carolina | Indiana | Michigan,https://www.expresswashconcepts.com/,,,,,,,,,,,,,,,,,,,
Super Star Car Wash,Arizona,1993,112,TSG Consumer Partners,Arizona | California | Colorado | Texas,https://www.superstarcarwashaz.com/,,,,,,,,,,,,,,,,,,,
Autobell Car Wash,North Carolina,1969,91,None,North Carolina | South Carolina | Maryland | Virginia,https://www.autobell.com/,,,,,,,,,,,,,,,,,,,
LUV Car Wash,Arizona,2021,74,Susquehanna Private Capital,Florida | Georgia | California | Nevada | Pennsylvania,https://luvcarwash.com/,,,,,,,,,,,,,,,,,,,
Summit Wash Holdings,Connecticut & Florida,2022,71,New Mountain Capital,New York | Nebraska | Connecticut | Missouri | Florida,https://www.summitwashassociates.com/,,,,,,,,,,,,,,,,,,,
True Blue Car Wash,Arizona,2016,68,Circle K,Arizona | Illinois | Indiana | Texas,https://truebluecw.com/,,,,,,,,,,,,,,,,,,,
Splash Car Wash,Connecticut,1981,65,Palladin Consumer Retail Partners,Connecticut | New York | Vermont | Massachusetts,https://splashcarwashes.com/,,,,,,,,,,,,,,,,,,,
Caliber Car Wash,Georgia,2019,64,Percheron Capital,Alabama | Florida | Georgia | North Carolina | South Carolina | Texas,https://calibercarwash.com/,,,,,,,,,,,,,,,,,,,
BlueWave Express Car Wash,Texas,2007,63,None,Texas | California,https://bluewaveexpress.com/,,,,,,,,,,,,,,,,,,,
El Car Wash,Florida,2010,62,Warburg Pincus,Florida,https://elcarwash.com/,,,,,,,,,,,,,,,,,,,
Splash in ECO Car Wash,,,59,None,,,,,,,,,,,,,,,,,,,,,
Golden Nozzle Car Wash,Massachusetts,1970,58,Nouria Energy,Connecticut | Maine | Massachusetts | New Hampshire | Rhode Island,https://goldennozzlecarwash.com/,,,,,,,,,,,,,,,,,,,
Champion Xpress Carwash,Texas,2015,54,None,New Mexico | Colorado | Iowa | Illinois | Texas,https://champxpress.com/,,,,,,,,,,,,,,,,,,,
Crew Carwash,Indiana,1948,50,None,Indiana | Minnesota,https://crewcarwash.com/,,,,,,,,,,,,,,,,,,,
Sam's Xpress Car Wash,North Carolina,2012,50,None,North Carolina | Virginia | South Carolina,https://samsxpresscarwash.com/,,,,,,,,,,,,,,,,,,,
Jax Kar Wash,Michigan,1953,47,TRP Capital Partners,Michigan | Indiana,https://www.jaxkarwash.com,,,,,,,,,,,,,,,,,,,
Terrible Herbst,Nevada,1959,47,None,Nevada | California | Arizona | Utah,https://www.terribles.com/,,,,,,,,,,,,,,,,,,,
Big Dan's Car Wash,Georgia,2020,45,Shadday Family Office,Alabama | Florida | Georgia | South Carolina,https://www.bigdanscarwash.com/,,,,,,,,,,,,,,,,,,,
Mr. Clean Car Wash,Georgia,1988,45,Corporate Backed or Acquired,Georgia | Florida,https://www.mrcleancarwash.com/,,,,,,,,,,,,,,,,,,,
Raceway Express Car Wash,Arizona,2009,45,Clear Sky Capital,Arizona | California | Nevada | Texas,https://racewaycarwash.com/,,,,,,,,,,,,,,,,,,,
Sparkling Image Car Wash,Florida,1995,42,Wash Depot Holdings,California | Florida | Indiana | Massachusetts | New Hampshire | Tennessee | Texas,https://www.sparklingimage.com/,,,,,,,,,,,,,,,,,,,
Wash N' Roll,Tennessee,2013,42,None,Tennessee | Alabama | Indiana | Georgia,https://www.mywashnroll.com/,,,,,,,,,,,,,,,,,,,
Rich's Car Wash,Alabama,1976,41,None,Alabama | Florida | Georgia | Louisiana | Mississippi | Texas,https://www.richscarwash.com/,,,,,,,,,,,,,,,,,,,
Mike's Car Wash,Ohio,1948,40,None,Kentucky | Ohio | Indiana,https://www.mikescarwash.com/,,,,,,,,,,,,,,,,,,,
Surf Thru Express Car Wash,California,2011,36,None,Texas | Oregon | Arizona | California | Washington,,,,,,,,,,,,,,,,,,,,
Watershed Carwash,Texas,,36,None,Texas | Oklahoma | Arizona,https://watershedcarwash.com/,,,,,,,,,,,,,,,,,,,
WetGo Car Wash,Pennsylvania,2020,35,Giant Eagle,Pennsylvania | Ohio,http://unlimited.getgocafe.com,,,,,,,,,,,,,,,,,,,
Delta Sonic,New York,1967,32,None,New York | Illinois | Pennsylvania,https://www.deltasoniccarwash.com/,,,,,,,,,,,,,,,,,,,
The Wash Tub,Texas,1986,31,None,Texas,https://www.washtub.com/,,,,,,,,,,,,,,,,,,,
Gas N Wash,Illinois,2013,30,Bow River Capital,Illinois,https://www.gasnwash.net/,,,,,,,,,,,,,,,,,,,
Hurricane Express Wash,South Carolina,2015,30,PassiveInvesting.com,Tennessee | South Carolina | North Carolina | Florida | Maryland | Virginia | Alabama,https://www.hurricanewash.com/,,,,,,,,,,,,,,,,,,,
Brown Bear Car Wash,Washington,1957,29,None,Washington,https://www.brownbear.com/,,,,,,,,,,,,,,,,,,,
Waterway Carwash,Missouri,1970,29,None,Kansas | Montana | Colorado | Illinois | Ohio,https://www.waterway.com/,,,,,,,,,,,,,,,,,,,
Hoffman Car Wash,New York,1965,28,None,New York,https://www.hoffmancarwash.com/,,,,,,,,,,,,,,,,,,,
Quick N Clean,Arizona,1992,27,None,Arizona | Colorado | Oklahoma | Texas,https://quicknclean.net/,,,,,,,,,,,,,,,,,,,
ClearWater Express Wash,Texas,2021,26,None,Texas,https://www.clearwaterexpresswash.com,,,,,,,,,,,,,,,,,,,
Thoroughbred Express Auto Wash,Kentucky,2020,26,Freestone Capital,Indiana | Kentucky | Ohio | Oregon | West Virginia | Washington,https://thoroughbredexpress.com/,,,,,,,,,,,,,,,,,,,
Trademark Car Wash,Texas,2004,26,Princeton Equity Group / Accelerated Brands,Texas | Louisiana | Florida | New Mexico | Arizona | Tennessee | Michigan | Missouri,https://trademarkcarwash.com/,,,,,,,,,,,,,,,,,,,
Rocket Carwash,Nebraska,2000,25,City+Ventures,Nebraska | Pennsylvania | Texas | California | Iowa | Utah | Florida,https://rocketcarwash.com/,,,,,,,,,,,,,,,,,,,
Soapy Joe�s Car Wash,California,2011,25,None,California,https://soapyjoescarwash.com/,,,,,,,,,,,,,,,,,,,
Wash Masters Car Wash,Texas,2004,25,Victron Energy Company,Texas,https://washmasters.com/,,,,,,,,,,,,,,,,,,,
Washville Car Wash,New York,2019,25,Garnett Reynolds Holdings,New York | Massachusetts | Rhode Island | New Hampshire | Maine,https://washvillecarwash.com/,,,,,,,,,,,,,,,,,,,
Fast 5 Xpress Car Wash,California,,24,None,California,https://www.fast5xpress.com/,,,,,,,,,,,,,,,,,,,
Glide XPRESS Car Wash,Tennessee,2018,24,None,Tennessee | Missouri | Arkansas | Mississippi,https://www.glidexwash.com/,,,,,,,,,,,,,,,,,,,
Prestige Car Wash,Massachusetts,1997,24,None,Massachusetts,https://www.prestigewash.com/,,,,,,,,,,,,,,,,,,,
Ultra Clean Express,Nevada,2021,24,Lindsay Goldberg,Arizona | Nevada,https://ultracleanexpress.com/,,,,,,,,,,,,,,,,,,,
Flagstop Car Wash,Virginia,1981,23,Garnet Station Partners,Virginia,https://www.flagstopcarwash.com/,,,,,,,,,,,,,,,,,,,
Mighty Wash,Texas,2012,23,None,Texas | New Mexico,https://mymightywash.com/,,,,,,,,,,,,,,,,,,,
Mr. Magic Car Wash,Pennsylvania,1959,23,Incline Equity Partners,Pennsylvania | West Virginia | Ohio,https://mrmagiccarwash.com/,,,,,,,,,,,,,,,,,,,
ScrubaDub Auto Wash Centers,Massachusetts,1966,23,None,Massachusetts | Rhode Island | Maine | New Hampshire,https://www.scrubadub.com/,,,,,,,,,,,,,,,,,,,
Splash Car Wash & Oil Change,Arkansas,1981,22,None,Arkansas,https://cleancarfast.com,,,,,,,,,,,,,,,,,,,
Woodie's Wash Shack,Florida,2019,22,None,Florida,https://www.woodieswash.com/,,,,,,,,,,,,,,,,,,,
WOW Carwash,Nevada,2016,22,"Garnett Station Partners, LLC",Nevada,https://wowwash.com/,,,,,,,,,,,,,,,,,,,
Carnation Auto Spa,Texas,2021,21,Iron Skillet Partners,Texas,https://carnationautospa.com/,,,,,,,,,,,,,,,,,,,
Dirty Dog�s Car Wash,Georgia,2019,21,Cynosure Group,Alabama | Florida | Georgia,https://dirtydogscarwash.com/,,,,,,,,,,,,,,,,,,,
Tagg-N-Go,Utah,2016,21,None,Utah | Nevada | Idaho,https://taggngo.com/,,,,,,,,,,,,,,,,,,,
Drive & Shine Car Wash,Indiana,1997,20,None,Indiana | Michigan,https://driveandshine.com/,,,,,,,,,,,,,,,,,,,
Flash Car Wash,Connecticut,2012,20,None,Connecticut | Massachusetts | Rhode Island,https://flashcarwashes.com/,,,,,,,,,,,,,,,,,,,
Sgt. Clean�s Car Wash,Ohio,2013,20,None,Ohio,https://sgtclean.com/,,,,,,,,,,,,,,,,,,,
TruShine Car Wash,Tennessee,2019,20,None,Tennessee | Virginia,https://www.trushinecarwash.com/,,,,,,,,,,,,,,,,,,,
Francis & Sons Car Wash,Arizona,1997,19,Acquired by Raceway Car Wash,Arizona,https://francisandsonscarwash.com/,,,,,,,,,,,,,,,,,,,
Fuller's Car Wash,Illinois,1960,19,None,Illinois,https://fullerscarwash.com/,,,,,,,,,,,,,,,,,,,
Shiny Shell Car Wash,Utah,2012,19,None,Utah | Pennsylvania | Maryland,https://www.shinyshell.com/,,,,,,,,,,,,,,,,,,,
Washman Car Washes,Oregon,1995,19,None,Oregon,https://www.washmanusa.com/,,,,,,,,,,,,,,,,,,,
Bubble Down Car Wash,Florida,2020,18,Locally Owned,Florida,https://bubbledown.com/,,,,,,,,,,,,,,,,,,,
Elephant Super Car Wash,Washington,1951,18,None,Washington,https://elephantcarwash.com/,,,,,,,,,,,,,,,,,,,
Kaady Car Wash,Oregon,1976,18,None,Oregon | Washington | California,https://kaady.com/,,,,,,,,,,,,,,,,,,,
Ronny's Car Wash,Florida,,18,None,Florida | Alabama,https://ronnyscarwash.net/,,,,,,,,,,,,,,,,,,,
Big Peach Car Wash,Georgia,2021,17,None,Georgia | Tennessee | Florida,https://www.bigpeachusa.com/,,,,,,,,,,,,,,,,,,,
Bliss Car Wash,California,2019,17,None,California,https://blisscarwash.com/,,,,,,,,,,,,,,,,,,,
Buddy Bear Car Wash,Illinois,1982,17,None,Illinois,https://buddybearcarwash.com/,,,,,,,,,,,,,,,,,,,
Fast Eddie's Car Wash & Oil Change,Michigan,1977,17,None,Michigan,https://www.fasteddiescarcare.com/,,,,,,,,,,,,,,,,,,,
Gate Express Car Wash,Florida,2017,17,None,Florida,https://gateexpresscarwash.com/,,,,,,,,,,,,,,,,,,,
Zax Auto Wash,Michigan,2015,17,None,Michigan,https://zaxautowash.com/,,,,,,,,,,,,,,,,,,,
