original_name_address,original_latitude,original_longitude,found_car_wash_name,distance_miles,google_rating,google_user_rating_count,found_in_competitor_list,keyword_classification,keyword_classification_explanation,place_images_count,satellite_image_filename,image_classification,image_classification_justification,is_competitor
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",33.6124699,-111.9964852,PV Car Wash,0.87661635292098,3.5,91,False,Can't say,"The name ""PV Car Wash"" is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.",10,ChIJ2Q1dGSRzK4cR_NzdVdQ4jAg.jpg,Competitor,"The images clearly show an express tunnel model at PV Car Wash. There is a visible tunnel structure with an entrance and exit, including guide rails for a conveyorized experience. The signage indicates 'Express Wash,' reinforcing the classification. The equipment inside the tunnel appears automated, with sprayers and brushes visible, and customers remain in their cars during the process. These features strongly align with the criteria for an Express Tunnel Car Wash competitor.",True
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",33.6124699,-111.9964852,Wash Tubb,0.946673887189364,4.3,154,False,Can't say,"The business name ""Wash Tubb"" is generic and does not contain specific keywords to classify it as a 'Competitor' or 'Not a Competitor'.",10,ChIJ0RgDmjpyK4cRGLHyUrVzWkk.jpg,Not a Competitor,"The images show a self-service car wash setup rather than an express tunnel car wash. The facility includes open bays where customers can manually clean their vehicles using a hose and other equipment provided on-site. There is no sign of an automated tunnel system with a conveyor belt or cleaning equipment inside a long, enclosed structure. Cars are shown being manually cleaned by individuals, and no drive-through tunnel that meets the criteria of an express tunnel car wash is present.",False
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,Super Star Car Wash (83rd Ave & Mcdowell),0.171099272782513,4.5,781,False,Can't say,"The business name ""Super Star Car Wash"" is generic and does not contain specific keywords to classify it as a Competitor or Not a Competitor.",10,ChIJAbnuFWUVK4cRWV7lpmd5Ejo.jpg,Competitor,"The location displays a clear tunnel structure visible in the aerial images, with cars entering and exiting in a straight line. The entrance is branded as 'Fast Pass Members Only,' which aligns with express car wash services. Additionally, the first image shows a lengthy building that meets the minimum required tunnel length. The tunnel itself includes automated equipment with no evidence of manual cleaning or interior cleaning during the drive-through phase. Adjacent self-serve vacuum stations are visible, complementing the express model observed.",True
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,"Blue Beacon Truck Wash of Tolleson, AZ",0.418877315000131,3.8,1449,False,Not a Competitor,"The business name contains ""Blue Beacon"" and ""Truck Wash"", which are keywords for 'Not a Competitor'.",,,,,False
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,Raceway Express Car Wash,0.508094130299987,4,892,True,,,,,,,True
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,Circle K | Car Wash,0.964307301797209,3.7,13,False,Can't say,The input 'Car Wash' is too generic to determine if it's an automated/express or self-serve/hand wash business based on the provided keywords.,,ChIJfQniqYAVK4cRBurvadGj8GA.jpg,Not a Competitor,"The car wash structure shown does not appear to be a long tunnel, but rather a shorter building typical of non-tunnel car washes. There is no visible conveyor system or entry/exit arches labeled 'Enter' and 'Exit.' Additionally, there are no indicators of automated equipment like brushes or rollers inside, nor does the setup suggest a drive-through experience as required for an express tunnel model. The location seems more likely to be an automatic or self-serve wash instead of an express tunnel.",False
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",33.4489878,-112.348446,Super Star Car Wash | Full-Service Location,0.413532707918779,4.1,1822,False,Competitor,"The business description contains ""Full-Service"", which indicates an automated, full-service, or drive-through-style wash, classifying it as a Competitor.",,,,,True
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",33.4489878,-112.348446,J's driveway carwash,0.692316122351862,5,3,False,Can't say,"The input ""J's driveway carwash"" contains the generic term ""carwash"" and ""driveway"", which does not align with specific keywords for 'Competitor' or 'Not a Competitor' classification. It lacks keywords indicating automation or specific manual/value-added services.",,ChIJ5XikAtw4K4cRlJJUYSjtCCQ.jpg,Not a Competitor,"The image depicts a residential driveway labeled as 'J's driveway carwash,' without any visible signs of a tunnel structure, entrance/exit arches, automated equipment, or conveyor system typically associated with an express tunnel car wash setup. The location appears to be residential and lacks the infrastructure for express car wash services.",False
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,Rainbo Car Wash,0.0295453543338253,4.1,51,False,Can't say,"The business name ""Rainbo Car Wash"" is generic and does not contain specific keywords to classify it as a 'Competitor' or 'Not a Competitor'.",6,ChIJP4czgyoweogRwvkgFMe5lIY.jpg,Competitor,"The images show a car wash with a tunnel structure large enough to fit an express model. The 'Pay Here' station visible indicates a drive-through experience. The long building with multiple entry/exit points, and potential conveyor guides visible on the ground, suggest an automated exterior cleaning setup within the tunnel. Additionally, vacuum stations are optional, and while not visible, the setup overall aligns with an express tunnel model.",True
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,Shell,0.33326285371811,4.4,50,False,Can't say,The input 'Shell' is a generic name and does not contain any specific keywords to classify it as a competitor or not a competitor.,1,ChIJ9eEpUdQxeogRFMXJZ9OhN2c.jpg,Not a Competitor,"The provided images show a Shell gas station with parking and a building, but there is no visible evidence of an express tunnel car wash system. Key features like a long tunnel structure, automated cleaning equipment, or entrance/exit arches are absent. Also, there are no signs indicating express or exterior tunnel wash services. Hence, this establishment does not meet the criteria to be classified as a competitor.",False
