original_address,competitors_count,competitor_1_distance_miles,competitor_1_google_rating,competitor_1_google_user_rating_count,competitor_2_distance_miles,competitor_2_google_rating,competitor_2_google_user_rating_count,competitor_3_distance_miles,competitor_3_google_rating,competitor_3_google_user_rating_count,competitor_4_distance_miles,competitor_4_google_rating,competitor_4_google_user_rating_count,competitor_5_distance_miles,competitor_5_google_rating,competitor_5_google_user_rating_count,competitor_6_distance_miles,competitor_6_google_rating,competitor_6_google_user_rating_count
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",1,0.87661635292098,3.5,91,,,,,,,,,,,,,,,
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",2,0.171099272782513,4.5,781,0.508094130299987,4,892,,,,,,,,,,,,
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",1,0.413532707918779,4.1,1822,,,,,,,,,,,,,,,
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",1,0.0295453543338253,4.1,51,,,,,,,,,,,,,,,
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",0,,,,,,,,,,,,,,,,,,
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",2,0.652765751225311,1,1,0.65284214039445,4.1,114,,,,,,,,,,,,
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",2,0.184246336203215,,,0.341171217584227,4.1,40,,,,,,,,,,,,
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",2,0.205403825037215,3.6,40,0.433514040606807,2,2,,,,,,,,,,,,
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",4,0.513618496608942,2,1,0.601399059552287,4,68,0.618880728991891,4.3,1138,0.795479492742875,,,,,,,,
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",3,0.401333418485992,3,3,0.410572748226295,4.3,444,0.906200523592991,3,37,,,,,,,,,
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",3,0.62396007500531,4.2,239,0.685471577467644,4.5,219,0.825691964830039,,,,,,,,,,,
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",0,,,,,,,,,,,,,,,,,,
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",1,0.00987919809670176,4.6,12,,,,,,,,,,,,,,,
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",0,,,,,,,,,,,,,,,,,,
"AUTO WASH EXPRESS , 4060 MONTROSE ROAD , NIAGARA FALLS , ON , L2H1J9",0,,,,,,,,,,,,,,,,,,
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",3,0.451115723190687,4.7,185,0.513823552710007,4.3,871,0.87548435036642,4.9,779,,,,,,,,,
"Adore Car Wash , 771-789 Barwon Heads Rd , Armstrong Creek , VIC , 3217",0,,,,,,,,,,,,,,,,,,
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",0,,,,,,,,,,,,,,,,,,
"Aladdin Car Wash , 1616 S 57th St , Temple , TX , 76504",0,,,,,,,,,,,,,,,,,,
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",1,0.314228231176358,4.3,183,,,,,,,,,,,,,,,
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",0,,,,,,,,,,,,,,,,,,
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",2,0.455508275332474,3.6,138,0.966128502246141,4.6,43,,,,,,,,,,,,
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",1,0.547392599321257,4.1,488,,,,,,,,,,,,,,,
