full_site_address,Latitude,Longitude,cars_washed,original_address,competitors_count,competitor_1_distance_miles,competitor_1_google_rating,competitor_1_google_user_rating_count,competitor_2_distance_miles,competitor_2_google_rating,competitor_2_google_user_rating_count,competitor_3_distance_miles,competitor_3_google_rating,competitor_3_google_user_rating_count,competitor_4_distance_miles,competitor_4_google_rating,competitor_4_google_user_rating_count,competitor_5_distance_miles,competitor_5_google_rating,competitor_5_google_user_rating_count,competitor_6_distance_miles,competitor_6_google_rating,competitor_6_google_user_rating_count
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,36381,"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",1.0,0.0295453543338253,4.1,51.0,,,,,,,,,,,,,,,
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,95400,"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",4.0,0.513618496608942,2.0,1.0,0.601399059552287,4.0,68.0,0.618880728991891,4.3,1138.0,0.795479492742875,,,,,,,,
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,10751,"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",0.0,,,,,,,,,,,,,,,,,,
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,12326,"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",3.0,0.451115723190687,4.7,185.0,0.513823552710007,4.3,871.0,0.87548435036642,4.9,779.0,,,,,,,,,
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,32263,"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",0.0,,,,,,,,,,,,,,,,,,
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,116253,"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",1.0,0.314228231176358,4.3,183.0,,,,,,,,,,,,,,,
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,107804,"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",0.0,,,,,,,,,,,,,,,,,,
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,96752,"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",2.0,0.455508275332474,3.6,138.0,0.966128502246141,4.6,43.0,,,,,,,,,,,,
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,37398,"All American Boerne , 1376 S Main St , Boerne , TX , 78006",1.0,0.547392599321257,4.1,488.0,,,,,,,,,,,,,,,
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,44686,"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",3.0,0.414828423752163,3.7,171.0,0.782279026729284,,,0.783639239874936,3.5,47.0,,,,,,,,,
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,103508,"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",1.0,0.641096515867333,3.9,163.0,,,,,,,,,,,,,,,
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,74885,"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",0.0,,,,,,,,,,,,,,,,,,
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,98231,"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",1.0,0.567348617091741,4.9,687.0,,,,,,,,,,,,,,,
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,18765,"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",1.0,0.879993417584249,4.3,198.0,,,,,,,,,,,,,,,
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,89716,"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",1.0,0.830395954034106,,,,,,,,,,,,,,,,,
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,7173,"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",1.0,0.5491361176339,2.5,31.0,,,,,,,,,,,,,,,
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,9886,"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",0.0,,,,,,,,,,,,,,,,,,
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,169044,"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",0.0,,,,,,,,,,,,,,,,,,
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,93893,"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",1.0,0.796107931038085,3.5,95.0,,,,,,,,,,,,,,,
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,93511,"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",1.0,0.921783976740067,3.7,108.0,,,,,,,,,,,,,,,
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,51490,"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",1.0,0.423889583370982,3.0,206.0,,,,,,,,,,,,,,,
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,60382,"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",2.0,0.336722375991407,1.8,44.0,0.340692512231834,1.9,20.0,,,,,,,,,,,,
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,69626,"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",0.0,,,,,,,,,,,,,,,,,,
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,97792,"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",0.0,,,,,,,,,,,,,,,,,,
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,24332,"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",1.0,0.0993043329164726,3.2,89.0,,,,,,,,,,,,,,,
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,8795,"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",2.0,0.346742150613671,4.4,47.0,0.460292438133198,4.3,3.0,,,,,,,,,,,,
"BDP's Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,2139,,,,,,,,,,,,,,,,,,,,
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,194724,"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",0.0,,,,,,,,,,,,,,,,,,
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,16789,"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",0.0,,,,,,,,,,,,,,,,,,
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,11990,"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",0.0,,,,,,,,,,,,,,,,,,
"Big Dan's Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,203528,,,,,,,,,,,,,,,,,,,,
"Big Dan's Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,202602,,,,,,,,,,,,,,,,,,,,
"Big Dan's Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9019157,-84.77816,181181,,,,,,,,,,,,,,,,,,,,
"Big Dan's Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187793,-81.9229062,126438,,,,,,,,,,,,,,,,,,,,
"Big Dan's Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655692,-83.29788,22500,,,,,,,,,,,,,,,,,,,,
"Big Dan's Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1195579,-84.5192049,131004,,,,,,,,,,,,,,,,,,,,
"Big Dan's Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086258,-84.466738,120921,,,,,,,,,,,,,,,,,,,,
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,52106,"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",0.0,,,,,,,,,,,,,,,,,,
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,151078,"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",0.0,,,,,,,,,,,,,,,,,,
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,97714,"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",0.0,,,,,,,,,,,,,,,,,,
"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",33.4366472,-84.0385491,36510,"Big Peach Ola , 3479 Hwy 81 , McDonough , GA , 30252",0.0,,,,,,,,,,,,,,,,,,
"Big River Selma , 2409 N Broad St , Selma , AL , 36701",32.4325392,-87.0249312,106218,"Big River Selma , 2409 N Broad St , Selma , AL , 36701",1.0,0.138865399952088,4.4,11.0,,,,,,,,,,,,,,,
"Big River Troy , 1221 US-231 , Troy , AL , 36081",31.7801113,-85.949913,91676,"Big River Troy , 1221 US-231 , Troy , AL , 36081",2.0,0.456017621549831,4.4,797.0,0.460751153262181,,,,,,,,,,,,,,
"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",30.1522001,-81.7514299,18130,"Blanding , 580 Blanding Blvd , Orange Park , FL , 32073",1.0,0.908983784537946,4.8,56.0,,,,,,,,,,,,,,,
"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",31.5301708,-83.8334232,57179,"Blu Wave Express Wash , 306 E Franklin St , Sylvester , GA , 31791",0.0,,,,,,,,,,,,,,,,,,
"Blu's Flex Serve Car Wash , 420 S Main St , Lumberton , TX , 77657",30.2490469,-94.1977178,76418,,,,,,,,,,,,,,,,,,,,
"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",33.2738091,-84.2918572,113870,"Blue Penguin Griffin , 1475 N Expy , Griffin , GA , 30223",1.0,0.126987448969663,4.0,346.0,,,,,,,,,,,,,,,
"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",34.0440574,-84.6949093,16967,"Blue Rhino Car Wash , 3614 Cobb Pkwy NW , Acworth , GA , 30101",2.0,0.0096750924577708,4.2,33.0,0.306335080163633,4.2,441.0,,,,,,,,,,,,
"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",29.4218032,-95.2267778,3307,"BlueWave Alvin , 2002 E HWY 6 , Alvin , TX , 77511",1.0,0.321313542777519,4.9,1999.0,,,,,,,,,,,,,,,
"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",28.6989033,-100.484934,93312,"BlueWave Bibb , 645 South Bibb Ave , Eagle Pass , TX , 78852",2.0,0.704082379441189,3.0,2.0,0.759332650282493,4.4,7.0,,,,,,,,,,,,
"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",29.5725582,-98.2389545,67530,"BlueWave Cibolo , 174 W Borgfeld Rd , Cibolo , TX , 78108",2.0,0.418427645025071,2.3,42.0,0.420416778123862,4.6,58.0,,,,,,,,,,,,
"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",30.2091694,-95.4239756,18310,"BlueWave Conroe , 10345 Highway 242 , Conroe , TX , 77385",1.0,0.146413845398382,4.0,16.0,,,,,,,,,,,,,,,
"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",29.3891844,-100.9047145,88522,"BlueWave Del Rio , 2201 Veterans Blvd , Del Rio , TX , 78840",0.0,,,,,,,,,,,,,,,,,,
"BlueWave Humble , 9719 N Sam Houston Pkwy E , Humble , TX , 77396",29.9355463,-95.2435561,57968,"BlueWave Humble , 9719 N Sam Houston Pkwy E , Humble , TX , 77396",2.0,0.414920397336329,4.7,3.0,0.976172565734829,2.3,15.0,,,,,,,,,,,,
"BlueWave League City , 1740 W FM646 , League City , TX , 77573",29.4669391,-95.0874048,15973,"BlueWave League City , 1740 W FM646 , League City , TX , 77573",1.0,0.880060501049452,3.6,539.0,,,,,,,,,,,,,,,
"BlueWave Livingston , 1829 US Highway 190 W , Livingston , TX , 77351",30.7176553,-94.9618149,37668,"BlueWave Livingston , 1829 US Highway 190 W , Livingston , TX , 77351",1.0,0.415254745848175,4.6,1387.0,,,,,,,,,,,,,,,
"BlueWave Lumberton , 710 S Main St , Lumberton , TX , 77657",30.2423772,-94.196705,44680,"BlueWave Lumberton , 710 S Main St , Lumberton , TX , 77657",2.0,0.101454641445119,5.0,1.0,0.471012075124632,4.6,140.0,,,,,,,,,,,,
"BlueWave Montgomery , 20210 Eva St Montgomery , Montgomery , TX , 77356",30.3886464,-95.6805365,19782,"BlueWave Montgomery , 20210 Eva St Montgomery , Montgomery , TX , 77356",1.0,0.529428719050152,4.7,800.0,,,,,,,,,,,,,,,
"BlueWave Penitas , 1807 Expressway 83 , Penitas , TX , 78576",26.2440893,-98.4418103,80189,"BlueWave Penitas , 1807 Expressway 83 , Penitas , TX , 78576",0.0,,,,,,,,,,,,,,,,,,
"BlueWave Rio Grande , 4343 US-83 , Rio Grande City , TX , 78582",26.3442811,-98.7440723,37616,"BlueWave Rio Grande , 4343 US-83 , Rio Grande City , TX , 78582",0.0,,,,,,,,,,,,,,,,,,
"Bryant - N Reynolds Rd , 2116 N Reynolds Rd , Bryant , AR , 72022",34.6140151,-92.4977299,36135,"Bryant - N Reynolds Rd , 2116 N Reynolds Rd , Bryant , AR , 72022",1.0,0.640831252558797,4.5,1099.0,,,,,,,,,,,,,,,
