full_site_address,Latitude,Longitude,cars_washed,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,36381,9.0,0.1503510691790398,0.1699939967262127,0.4913033143227918,0.5578282062416298,0.6268111133043528,0.6368036057996095,0.6655926228987181,0.6959583714336733,0.7095890798460369,
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,95400,12.0,0.1286147786061455,0.2006749831213108,0.2166045298359367,0.3837080325651622,0.4955958630585141,0.6324794049429284,0.7401378446305283,0.7925314359150534,0.841610371376561,0.879445077750801
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,10751,4.0,0.128080482578132,0.1625987896758925,0.5440567450717317,0.682147185196144,,,,,,
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,12326,12.0,0.1445875055911984,0.2521656468847849,0.2640380518433244,0.3012893892566207,0.4308284963549172,0.5143698497490232,0.551194773292751,0.6658009677834523,0.7213199362340506,0.8752741252127599
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,32263,6.0,0.2211733117188541,0.3280314068857199,0.4324466734390509,0.5100827417134102,0.5599265470299921,0.7154621682199157,,,,
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,116253,9.0,0.0633890555755516,0.1426912676891157,0.3518806520853699,0.6318137832219898,0.6430264186777144,0.8525338546908401,0.9092665353509856,0.963290796144178,0.973033337681078,
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,107804,3.0,0.0979101943968162,0.3979271890541845,0.8579748558115445,,,,,,,
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,96752,6.0,0.1435213377146164,0.3997632791349821,0.5887705423905017,0.6592209320922328,0.8077305517867717,0.8232271417960703,,,,
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,37398,12.0,0.0354964759968275,0.2257171706038672,0.2765008865683969,0.5207388626755565,0.578631175948161,0.6462036793960023,0.7048831583225414,0.7158293996368051,0.7829177410236864,0.8602691751612502
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,44686,16.0,0.0719485821824163,0.2148822072708029,0.2237967067008518,0.3184827452784342,0.3747224474615775,0.3979642231894345,0.4725732803546078,0.5092755339112616,0.5609623806360576,0.567865170034847
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,103508,10.0,0.0273429979217603,0.1248267329477361,0.2745557698244178,0.538180296380108,0.6248455405155672,0.6444197714943717,0.645681496234233,0.7296438077698707,0.7464203545757103,0.959381402285533
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,74885,17.0,0.0684134089058536,0.0970146077776604,0.1615280577059503,0.188835241481995,0.2311228420144718,0.2873938980103521,0.3023160254990064,0.3029604886544121,0.450300628698048,0.4587977033101607
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,98231,9.0,0.0577955893424394,0.3956818999093411,0.4148700088110945,0.4402782846661162,0.467569278630493,0.6105762197539649,0.6550927234741605,0.8610904919392268,0.8845487650997202,
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,18765,16.0,0.1117875622792988,0.2336127629702375,0.4687905502156075,0.5248403950222501,0.6270272411767527,0.6775861851530812,0.6805016950360528,0.7519708928819584,0.7534438455357396,0.7712877328754388
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,89716,24.0,0.041186743159237,0.2085650188588649,0.2249759248429595,0.2821337756443926,0.3291898901741213,0.4328031370773538,0.5195870500462347,0.5387712024659884,0.6247070816423655,0.6344285128469843
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,7173,19.0,0.0801024004404853,0.2120191895762895,0.2215050178704252,0.2520853297417671,0.4157469611498182,0.4663384782411922,0.4678688062593398,0.4799959668165814,0.5029552999184418,0.5037824138265691
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,9886,3.0,0.0583086943409997,0.2845315962013779,0.7845398234586777,,,,,,,
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,169044,10.0,0.0697002957977897,0.0817264889592174,0.2482546162811682,0.390858400728337,0.764990290584407,0.7917240025064554,0.812761191103228,0.9262368142890512,0.9519342145691616,0.976112899589485
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,93893,13.0,0.0915161124164299,0.0936823877092267,0.1717594880087787,0.3390109453143233,0.3494887149979962,0.3879926217573459,0.525470002474097,0.532726380272459,0.6561466914828953,0.7420849408155303
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,93511,5.0,0.2699953218840973,0.3245426871001428,0.8496597924346769,0.9235964043450762,0.9471226748000836,,,,,
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,51490,15.0,0.2257604790445657,0.258735555316897,0.2633388487641095,0.2852350336805608,0.3002349557508978,0.3437136961972714,0.3646540774851619,0.3758015723596536,0.4299650388027151,0.5130577960846859
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,60382,4.0,0.1469166559759135,0.4008688263091788,0.5333580340062567,0.5879472203913123,,,,,,
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,69626,16.0,0.0371282877081196,0.2184655026073163,0.3818135836191912,0.3935733551751995,0.422327800409656,0.4698930883585531,0.4848107593546552,0.5547324498336098,0.5596327097076098,0.6808538739737913
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,97792,3.0,0.0568036846614381,0.1446632272228136,0.9134409704515868,,,,,,,
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,24332,2.0,0.4257977564264058,0.4932630572627795,,,,,,,,
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,8795,4.0,0.3844347700282336,0.5912767655117119,0.6602373932345801,0.9974567159844306,,,,,,
"BDP's Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,2139,,,,,,,,,,,
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,194724,10.0,0.1772893853028919,0.2898141870674393,0.3967971303110765,0.4592128851849594,0.5287359021694897,0.6257657535086569,0.6831946513827426,0.8189373687004717,0.8279983859497503,0.8459757643949252
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,16789,1.0,0.0799544378046261,,,,,,,,,
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,11990,0.0,,,,,,,,,,
"Big Dan's Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,203528,,,,,,,,,,,
"Big Dan's Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,202602,,,,,,,,,,,
"Big Dan's Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9019157,-84.77816,181181,,,,,,,,,,,
"Big Dan's Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187793,-81.9229062,126438,,,,,,,,,,,
"Big Dan's Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655692,-83.29788,22500,,,,,,,,,,,
