full_site_address,nearestroad_1_name,distance_nearestroad_1,nearestroad_1_maxspeed,nearestroad_2_name,distance_nearestroad_2,nearestroad_2_maxspeed,nearestroad_3_name,distance_nearestroad_3,nearestroad_3_maxspeed,nearestroad_4_name,distance_nearestroad_4,nearestroad_4_maxspeed,nearestroad_5_name,distance_nearestroad_5,nearestroad_5_maxspeed,,,
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",North 40th Street,0.031532445784506,40 mph,East Ludlow Drive,0.0559735159737891,25 mph,North 40th Place,0.0823362454127609,25 mph,East Friess Drive,0.0995264691117324,25 mph,East Thunderbird Road,0.117773488138639,25 mph,,,
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",West Lynwood Street,0.0298624034647235,25 mph,West McDowell Road,0.0394398718945151,45 mph,North 83rd Avenue,0.0880536641531546,45 mph,North 84th Avenue,0.130908665480304,25 mph,West Almeria Road,0.130908665480304,25 mph,,,
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",North Central Avenue,0.0927829931360567,25 mph,North 4th Street,0.175987449516186,25 mph,North Palo Verde Drive,0.185555624852042,25 mph,East Calle Chulo Road,0.191657673289832,25 mph,East La Canada Boulevard,0.19202578067736,25 mph,,,
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",Unnamed Road,1.2480379377278,55 mph,,,,,,,,,,,,,,,
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",Commack Road,0.0918681379148169,35 mph,Deer Park Avenue,0.20827694770264,40 mph,Carll's Path,0.209589760823779,30 mph,Unnamed Road,0.233161720899312,30 mph,Davis Street,0.273009803995584,30 mph,,,
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",South Broadway,0.0341671875611376,35 mph,South Street,0.272595135996047,25 mph,Winthrop Avenue,0.320720178823113,35 mph,North Main Street,0.713814012648402,35 mph,Union Street,0.722033492383849,35 mph,,,
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",South Highway 175,0.0132317616661113,40 mph,C F Hawn Freeway,0.0490308979021795,70 mph,East Malloy Bridge Road,0.139968373279149,40 mph,Water Street,0.144065331571323,25 mph,Crestview Drive,0.14522251241845,25 mph,,,
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",4th Street Northwest,0.0279690245070539,35 mph,Natalie Avenue Northwest,0.0310300062731983,25 mph,Berry Road Northwest,0.0671920884990191,25 mph,Delamar Avenue Northwest,0.076070495805527,25 mph,Montaño Road Northwest,0.175319602266731,35 mph,,,
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",North Prince Street,0.0264842934508155,35 mph,Ross Street,0.133988116017951,25 mph,Sheldon Street,0.173456323588907,25 mph,Wallace Street,0.193541869339001,25 mph,Sheffield Drive,0.245265399332239,25 mph,,,
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",Texas Avenue South,0.0125069958910427,45 mph,Anderson Street,0.338289839289128,35 mph,South Harvey Mitchell Parkway,0.377243619113621,45 mph,Longmire Drive,0.503103660799024,35 mph,Unnamed Road,0.873367573371372,45 mph,,,
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",William D Fitch Parkway,0.0520716296749112,60 mph,Ravenstone Loop,0.209618034866825,30 mph,Edinburgh Place,0.239399371964811,30 mph,Appleby Place,0.337602048312477,30 mph,Roxborough Place,0.531954725800046,30 mph,,,
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",North Market Street,0.0307061259823549,50 mph,North Trace Boulevard,0.0351834349035469,25 mph,Old Mooringsport Road,0.125361656225302,45 mph,Northport Boulevard,0.1359661423176,25 mph,Alaska Lane,0.138050820445432,25 mph,,,
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",Peachtree Parkway,0.076331362558113,55 mph,Mathis Airport Parkway,0.694223259803533,45 mph,Johns Creek Parkway,0.98510178930501,35 mph,Bunting Run,1.02161387858927,25 mph,McGinnis Ferry Road,1.27922501579303,45 mph,,,
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",Mercer Street,0.0199029395327693,20 mph,West Scheffer Avenue,0.0247561361256242,20 mph,7th Street West,0.0247561361256242,35 mph,Victoria Street South,0.0428573487186635,20 mph,Otto Avenue,0.0899335898124466,25 mph,,,
"AUTO WASH EXPRESS , 4060 MONTROSE ROAD , NIAGARA FALLS , ON , L2H1J9",Queen Elizabeth Way,0.179894942951342,100,Thorold Stone Road,0.202259011202489,50,Unnamed Road,0.295137088589304,50,Freeman Street,0.586500361457608,50,Dorchester Road,0.59989426809455,50,,,
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",Abercorn Street,0.0590154606787932,45 mph,Wilshire Boulevard,0.153199460793369,30 mph,White Bluff Road,0.206014702699269,40 mph,La Brea Boulevard,0.40554882884867,25 mph,Montclair Boulevard,0.40554882884867,25 mph,,,
"Adore Car Wash , 771-789 Barwon Heads Rd , Armstrong Creek , VIC , 3217",Barwon Heads Road,0.0219859651277692,70,Warralily Boulevard,0.381258210442199,60,Ambrosia Drive,0.54571975364495,50,Harvey Avenue,0.595413358106084,50,Rochford Drive,0.620039693487233,50,,,
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",Unnamed Road,0.264236052020048,70 mph,1st Street South,0.343421393992354,45 mph,Colonial Promenade Parkway,0.372292627055433,35 mph,Thompson Road,1.23969216588542,35 mph,Sterling Gate Lane,1.7871577946107,15 mph,,,
"Aladdin Car Wash , 1616 S 57th St , Temple , TX , 76504",South 57th Street,0.0226899552718677,30 mph,West Avenue R,0.144705552773189,30 mph,South 55th Street,0.155910530875495,30 mph,South 53rd Street,0.178523485215309,30 mph,South 61st Street,0.187513447126819,30 mph,,,
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",Alameda Boulevard Northwest,0.0238586701292369,35 mph,4th Street Northwest,0.0610983609049234,35 mph,2nd Street Northwest,0.142690031565115,45 mph,Saint Francis Road Northwest,0.165701835316128,25 mph,Vista Clara Loop Northwest,0.223294853139816,25 mph,,,
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",Main Street,0.0941098489483066,45 mph,Craft Drive,0.263697562956537,30 mph,Anderson Circle,0.491746674494225,25 mph,Sixth Street,0.988263317630868,35 mph,United States Highway 160,1.04342192315185,55 mph,,,
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",South Gregg Street,0.13800424418987,40 mph,Park Road 8,0.491172420610855,20 mph,North Gregg Street,1.78435091703884,40 mph,,,,,,,,,
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",South Main Street,0.0285161956057526,45 mph,Herff Road,0.225715215231597,35 mph,Unnamed Road,0.22898392845451,75 mph,Interstate 10 West,0.264272781397608,50 mph,West Bandera Road,0.276498491260496,35 mph,,,
"All American Bulverde , 22247 Bulverde Rd , San Antonio , TX , 78259",Unnamed Road,0.666689375313651,10 mph,East Evans Road,1.01691204140311,40 mph,Bulverde Road,1.02972590463072,40 mph,Bulverde Green,1.08918319980827,30 mph,Summit Church Road,1.13566978697742,35 mph,,,
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",Unnamed Road,1.622304125234,60 mph,,,,,,,,,,,,,,,
"All American Dezavala , 4242 De Zavala Rd , San Antonio , TX , 78249",De Zavala Road,0.0312479543430891,45 mph,Lockhill Selma Road,0.188074101597482,45 mph,Happy Trail,0.767401354533611,25 mph,Huebner Road,0.877179141207551,45 mph,Northwest Military Highway,1.05990288285226,45 mph,,,
"All American Kitty Hawk , 1024 Kitty Hawk Rd , Universal City , TX , 78148",East Loop 1604 North,0.084692347173611,45 mph,Anderson Loop,0.10922796809498,65 mph,Old Cimarron Trail,0.231869938759854,35 mph,Converse Road,0.279702281097802,50 mph,Scarlet Creek,0.737715318552858,20 mph,,,
"All American Ou0027Connor , 11331 Ou0027Connor Rd , San Antonio , TX , 78233",Lookout Road,0.450087827252542,40 mph,North Pan Am Expressway,0.673238280641513,65 mph,Worchester Wood,0.802480337685874,30 mph,Waddesdon Bluff,0.821521708052537,30 mph,O'Connor Road,0.917178860219379,45 mph,,,
"All American Vance Jackson , 4343 Vance Jackson Rd , San Antonio , TX , 78230",Vance Jackson Road,0.0385179565588599,35 mph,Connally Loop,0.204243221296276,65 mph,Northwest Loop 410,0.250443614187,45 mph,Jackson Keller Road,0.29157516186975,35 mph,McDermott Freeway,1.01725672540223,65 mph,,,
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",Raymond P Shafer Highway,0.0945494149115845,55 mph,Weavertown Road,0.2002668777926,40 mph,Tannehill Street,0.285015934479768,5 mph,McClelland Road,0.473104723641719,35 mph,Bayberry Drive,0.564904970213893,25 mph,,,
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",South Brady Street,0.231120839813757,35 mph,Beaver Drive,0.286694864711805,35 mph,Maple Avenue,0.395096947438207,35 mph,North Main Street,0.551224537926452,15 mph,Unnamed Road,1.59590419086652,70 mph,,,
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",Freeport Road,0.0213675112691468,40 mph,Allegheny Valley Expressway,0.0417702943464218,55 mph,Unnamed Road,0.342441301846622,35 mph,Hulton Bridge,0.392893380154894,35 mph,Guys Run Road,0.39865619801009,30 mph,,,
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",Unnamed Road,0.559353718229769,55 mph,Scalp Avenue,0.713709101527271,40 mph,Kissell Lane,1.0180692216481,15 mph,Johnstown Expressway Bypass,1.37336026216176,55 mph,Eisenhower Boulevard,1.49428743341264,55 mph,,,
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",East 8th Avenue,0.0282740796682282,25 mph,East Waterfront Drive,0.138547461410421,25 mph,River Road,0.22497397589267,25 mph,Waterfront Drive East,0.535230205212671,25 mph,West Street,0.654050647536697,25 mph,,,
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",National Pike,0.0784325361912395,35 mph,Matthew Drive,0.468798115034938,25 mph,Unnamed Road,0.47720106495786,55 mph,West Main Street,0.543313219335703,35 mph,McClellandtown Road,0.571515018467672,35 mph,,,
"Aloha Car Wash Bothell , 17818 Bothell Everett Hwy , Bothell , WA , 98012",Bothell-Everett Highway,0.0206394342995124,45 mph,180th Street Southeast,0.114218183555838,35 mph,Brook Boulevard,0.328439217117615,25 mph,18th Avenue Southeast,0.355251026993941,25 mph,172nd Street Southeast,0.401289477283534,25 mph,,,
"Aloha Car Wash Woodinville , 13001 NE 177th Pl , Woodinville , WA , 98072",Northeast 177th Place,0.0393752259533043,35 mph,Northeast 175th Street,0.0583792246173156,30 mph,131st Avenue Northeast,0.12609416588901,35 mph,132nd Avenue Northeast,0.134934363814085,25 mph,Woodinville Snohomish Road,0.139262390717583,25 mph,,,
"Alpine Express , 2235 Alpine Blvd , Alpine , CA , 91901",Alpine Boulevard,0.0143061006362373,35 mph,Marshall Road,0.0149029355216709,25 mph,Arnold Way,0.0705580447299303,35 mph,Eltinge Drive,0.0722878316228839,25 mph,Kumeyaay Highway,0.275415929702441,70 mph,,,
"Alpine Wash , 250 S Denton Tap Rd , Coppell , TX , 75019",South Denton Tap Road,0.0277743082381002,40 mph,Wynnpage Drive,0.0300219263694416,25 mph,Unnamed Road,0.0334266950476562,10 mph,Glenwood Drive,0.0661888774555496,25 mph,Lakewood Court,0.0793365039110947,25 mph,,,
"Alton Town Center , 5200 Donald Ross Rd , Palm Beach Gardens , FL , 33418",Donald Ross Road,0.0763116330506445,45 mph,Unnamed Road,0.605873920576915,70 mph,Florida's Turnpike,0.83775818510129,70 mph,Old Dixie Highway,1.30393172782023,50 mph,Hood Road,1.65840569074283,45 mph,,,
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",West Denton Road,0.141899360240169,55 mph,West Amaranth Lane,0.2533154182609,25 mph,West Cardwell Ridge Drive,0.270160469690257,25 mph,US Highway 77,0.293156975301759,60 mph,Via Sorrento Drive,0.316106484601738,25 mph,,,
"American Pride Garner , 1421 US-70 , Garner , NC , 27529",Goldsboro Highway,0.0317601714456466,45 mph,Mechanical Boulevard,0.156236396021469,45 mph,Fayetteville Road,0.376913508708836,45 mph,Timber Drive,0.383184699525503,45 mph,Hammond Road,0.386282088100669,45 mph,,,
"American Pride Glenwood , 6450 Glenwood Ave , Raleigh , NC , 27612",Pleasant Valley Road,0.0198986086395513,35 mph,Glenwood Avenue,0.0299555699659961,45 mph,Unnamed Road,0.068766152160022,45 mph,Shadetree Lane,0.135754211694066,25 mph,Commercial Avenue,0.15629181583994,25 mph,,,
"American Pride Newbern , 3810 New Bern Ave , Raleigh , NC , 27610",New Bern Avenue,0.0272216523537376,45 mph,Frazier Drive,0.059449558214543,25 mph,Virginia Street,0.0634638813598843,25 mph,Plainview Drive,0.0639167208494386,25 mph,Hillcrest Drive,0.0919193756259892,25 mph,,,
"American Pride Six Forks , 8909 Six Forks Rd , Raleigh , NC , 27615",Six Forks Road,0.0267006119107832,45 mph,Baileywick Road,0.0338630900448322,35 mph,Strickland Road,0.0701144013976671,45 mph,Unnamed Road,0.0722109145221063,45 mph,Reedham Way,0.126176750498624,25 mph,,,
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",North Brightleaf Boulevard,0.0337762991798808,35 mph,East Booker Dairy Road,0.0610499242277194,45 mph,Regency Place,0.16887497328873,35 mph,Heritage Drive,0.186384848288713,35 mph,Pinecrest Street,0.205515250895291,35 mph,,,
"Annau0027s Car Wash , 2332 Legacy Circle , Elizabeth , CO , 80107",Legacy Circle,0.0728910297277239,30 mph,Cimarron Trail,0.129309378103577,30 mph,State Highway 86,0.129309378103577,55 mph,County Road 13,0.659009153903261,35-50,West Kiowa Avenue,0.659009153903261,55 mph,,,
"Apple Wu0026L , 22355 Bellaire Blvd , Richmond , TX , 77407",Jacobs Well Drive,0.510165330459076,30 mph,Sierra Long Drive,0.51088618900397,30 mph,Sabinal Creek Drive,0.557797415635577,30 mph,Sierra Bend Drive,0.583111569736331,30 mph,Compass Rose Drive,0.608366343221472,30 mph,,,
"Aqua Blue , 85 Peachtree Industrial Blvd , Sugar Hill , GA , 30518",North Price Road,0.335515339661791,40 mph,Suwanee Dam Road,0.721336975667347,45 mph,Grove Field Court Northwest,1.18471039715746,25 mph,Village Arbor Park Northwest,1.18875407767777,25 mph,Village Grove Drive Northwest,1.19554720295106,25 mph,,,
"Aqua Blue Duluth , 1097 Duluth Hwy , Lawrenceville , GA , 30043",Riverside Parkway,0.352474440626863,45 mph,Lakes Parkway,0.387156805243585,45 mph,University Parkway,0.617150573546642,55 mph,Old Norcross Road,1.00461817213723,45 mph,Walther Boulevard,1.08966958514513,30 mph,,,
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",East Felton Road,0.0245506598206594,35 mph,Joe Frank Harris Parkway Southeast,0.0541016384702676,45 mph,Unnamed Road,0.171758000068547,10 mph,Cloverleaf Drive,0.228836668735282,25 mph,North Tennessee Street,0.343290223176682,45 mph,,,
"Aqua Bubble Car Wash , 5860 Bethelview Rd , Cumming , GA , 30040",Bethelview Road,0.0311540117237029,45 mph,Atlanta Highway,0.401984170517702,45 mph,Park Place,0.523583642182699,10 mph,Sterling Court,0.530249867149717,25 mph,Weddington Drive,0.621248713688479,25 mph,,,
"Arco Wash , 4433 Lancaster Dr NE , Salem , OR , 97305",Lancaster Drive Northeast,0.0247733398688468,45 mph,Ward Drive Northeast,0.0264589798313833,35 mph,Fisher Road Northeast,0.228955491593178,40 mph,North Campus Loop,0.233803200105381,20 mph,Embassy Way Northeast,0.294957212653351,5 mph,,,
"Atlantic Blvd , 8714 Atlantic Blvd , Jacksonville , FL , 32211",Atlantic Boulevard,0.042550559261997,40 mph,Southside Boulevard,0.40310046203582,45 mph,Unnamed Road,0.552788825092284,45 mph,Southside Connector,0.552788825092284,55 mph,Arlington Expressway,0.716709878408587,45 mph,,,
"Atlantic Express , 7700 Atlantic Ave , Cudahy , CA , 90201",Clara Street,0.0141051422911545,25 mph,Atlantic Avenue,0.0188709712894248,35 mph,Elizabeth Street,0.148012548685472,25 mph,Live Oak Street,0.187130171815304,25 mph,Santa Ana Street,0.320047767760108,25 mph,,,
"Auto Paradise Car Wash , 1402 E Vine St , Kissimmee , FL , 34744",East Vine Street,0.0294849532852269,45 mph,Bronson Highway,0.136594316998057,50 mph,Oak Street,0.191988316173049,30 mph,Main Street,0.950475343510992,40 mph,West Vine Street,0.950660597267889,40 mph,,,
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",Cumberland Street,0.039442428913893,40 mph,Chestnut Street,0.116993989560215,35 mph,North 25th Street,0.286446924986762,25 mph,South 22nd Street,0.32453987561016,25 mph,West Maple Street,0.849652431892418,40 mph,,,
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",North Cooper Drive,0.024983205947976,35 mph,Unnamed Road,0.0639502800011085,70 mph,Dabney Drive,0.225111404105177,35 mph,Graham Avenue,0.30414070927593,35 mph,Ruin Creek Road,0.341646098747171,45 mph,,,
"Autobahn Auto Care Center , 3928 W Clearwater Ave , Kennewick , WA , 99336",West Clearwater Avenue,0.0215284559543084,35 mph,North Neel Street,0.145069558427191,25 mph,West Kennewick Avenue,0.203557490663378,35 mph,South Reed Street,0.204559678460976,25 mph,South Quillan Street,0.204946544730267,25 mph,,,
"Autobahn Express , 1225 Guyer Ave , Richland , WA , 99352",George Washington Way,0.0531435770624782,35 mph,Jadwin Avenue,0.0685326993688507,30 mph,Swift Boulevard,0.184743647233588,30 mph,Amon Park Drive,0.194311713876469,20 mph,Stevens Drive,0.434805025148041,30 mph,,,
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",Gardner Road,0.0338135301218974,40 mph,Vivian Street,0.0447154274301311,25 mph,West 187th Terrace,0.0525402108787752,25 mph,West 189th Terrace,0.25191617384124,25 mph,Unnamed Road,0.350423060476575,70 mph,,,
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",Whittlesey Boulevard,0.0318970476789324,35 mph,Fall Line Freeway,0.162763521389774,65 mph,Moon Road,0.484806559473438,45 mph,Unnamed Road,0.805581828345679,45 mph,Veterans Parkway,0.808529087165871,45 mph,,,
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",Poinciana Boulevard,0.0462586563019275,45 mph,Old Tampa Highway,0.052651776986355,45 mph,South Orange Blossom Trail,0.143946134704306,45 mph,,,,,,,,,
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",West Aztec Boulevard,0.30410450113263,55 mph,Gossett Drive,0.358507608764064,25 mph,Crane Drive,0.442204099666794,25 mph,JF Scott Drive,0.443307932497898,25 mph,Mascarenas Drive,0.455843720844919,25 mph,,,
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",,,,,,,,,,,,,,,,,,
"BBCW , 6603 Jog Rd , Boca Raton , FL , 33496",Lake Estates Drive,0.367729273482104,25 mph,Lake Estates Court,0.397340419261156,25 mph,Harrington Drive,0.516150300965775,25 mph,Saint Annes Way,0.536452183281393,25 mph,Harrington Way,0.542240759495582,25 mph,,,
"BDPu0027s Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",,,,,,,,,,,,,,,,,,
"BELMONT CAR WASH , 5594 E Belmont Ave , Fresno , CA , 93727",East Belmont Avenue,0.0287189299428527,40 mph,Unnamed Road,0.175229932525613,65 mph,East Olive Avenue,0.510796502235491,40 mph,East McKinley Avenue,1.04197909267063,40 mph,,,,,,
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",North Main Street,0.0121650867392773,30 mph,Concord Turnpike,0.110056807252892,50 mph,Crawford Street,0.617643319665488,30 mph,Abbott Avenue,0.739402135007894,30 mph,Unnamed Road,0.751103128048646,30 mph,,,
"BUCKEYE CAR WASH , 4521 KENNY RD , COLUMBUS , OH , 43220",Kenny Road,0.0351373568536713,35 mph,West Henderson Road,0.0495546387243081,50 mph,Old Henderson Road,0.0589182344070266,25 mph,Kenny Centre Mall,0.0892719387975453,25 mph,Unnamed Road,0.109462851118974,15 mph,,,
"Balboa , 7959 Balboa Ave , San Diego , CA , 92111",Balboa Avenue,0.0265145461923959,35 mph,Mercury Street,0.16739207845769,40 mph,Convoy Street,0.183681655369672,35 mph,Kearny Mesa Road,0.19061951373091,40 mph,Unnamed Road,0.250021312179208,35 mph,,,
"Bamboo Carwash , 240 Marketplace Blvd , Dawsonville , GA , 30534",Unnamed Road,0.113217010956704,55 mph,Lumpkin Campground Road South,0.24180200986871,50 mph,Dawson Forest Road East,0.318028168697706,45 mph,State Route 53,1.11498047449893,45 mph,Jot Em Down Road,1.36503835568101,50 mph,,,
"Baymeadows , 9491 Baymeadows Rd , Jacksonville , FL , 32256",Baymeadows Road,0.0726609478110906,45 mph,Unnamed Road,0.551202284507548,65 mph,Southside Boulevard,0.55484111229163,45 mph,Philips Highway,1.3468183520645,45 mph,Sunbeam Road,1.43399239359541,45 mph,,,
"Beach u0026 Hodges , 13940 Beach Blvd , Jacksonville , FL , 32224",Beach Boulevard,0.0450788146826405,45 mph,Hodges Boulevard,0.524854132333613,45 mph,San Pablo Parkway,0.719179264260546,45 mph,San Pablo Road South,0.740534932754088,45 mph,Falcon Ridge Way,0.842851139301037,20 mph,,,
"Beach Bum Express , 7602 El Camino Real , Carlsbad , CA , 92009",El Camino Real,0.0295186012036591,55 mph,Unnamed Road,0.0332335893402945,55 mph,La Costa Avenue,0.14324056321663,35 mph,Rush Rose Drive,0.431164377492971,10 mph,Suncup Way,0.431642251483623,10 mph,,,
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",Taylor Valley Road,0.0563590242186119,60 mph,South 31st Street,0.0586094982601789,40 mph,Milam Court,0.108189333034359,30 mph,Brookwater Court,0.137382114975112,30 mph,Castlerock Drive,0.140362751608115,30 mph,,,
"Benton - Congo Rd , 2620 Congo Rd , Benton , AR , 72019",I-30 Frontage Road,0.156071735798724,45 mph,Unnamed Road,0.180554879653187,70 mph,Gattin Road,1.82513862234702,25 mph,English Oak Drive,1.85168385537491,25 mph,J W Cove,1.95093587487517,25 mph,,,
"Bentonville - S Walton Blvd , 1005 S Walton Blvd , Bentonville , AR , 72712",South Walton Boulevard,0.0517060580948425,40 mph,Southwest Redbud Avenue,0.0520960260211403,25 mph,Southwest East Street,0.0542821403498207,25 mph,Southwest 10th Street,0.0845687681842165,25 mph,10th Street Southwest,0.0845687681842165,25 mph,,,
"Bentonville - SW Regional Airport Rd , 1907 SW Regional Airport Blvd , Bentonville , AR , 72712",Southwest Regional Airport Boulevard,0.0241616759933076,45 mph,Southwest Bright Road,0.0586163906069133,30 mph,Bright-Maple Traffic Circle,0.405456492238587,30 mph,Southwest Hayfield Avenue,0.460157498681513,25 mph,Southwest Chinquapin Avenue,0.461401889059451,25 mph,,,
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",Tweed Street,0.434230878553976,15 mph,Ogeechee Road,1.15380097155566,45 mph,Southbridge Boulevard,1.76876226835879,25 mph,,,,,,,,,
"Big Danu0027s Acworth , 3150 Blue Springs Rd , Kennesaw , GA , 30144",Cobb Parkway,0.0451342699496157,55 mph,Blue Springs Road Northwest,0.214501222576073,35 mph,Old 41 Highway,0.491176435107507,35 mph,Clover Road,0.694052220653625,15 mph,Unnamed Road,0.710172067711383,15 mph,,,
"Big Danu0027s Albany , 375 N Slappey Blvd , Albany , GA , 31701",North Slappey Boulevard,0.0198741234556269,35 mph,Benjamin Avenue,0.0437712658852115,25 mph,Pine Avenue,0.0494425351159342,30 mph,Dawson Road,0.0515624996297816,40 mph,William Junior Street,0.0622345178621139,25 mph,,,
"Big Danu0027s Bradenton 14th St , 6310 14th St W , Bradenton , FL , 34207",14th Street West,0.0439223816180756,45 mph,Bayshore Gardens Parkway,0.152174664555778,30 mph,Hague Boulevard,0.20587337556107,15 mph,U Avenue,0.236441667600653,15 mph,Avenue T South,0.238260225295641,15 mph,,,
"Big Danu0027s Bradenton 301 , 118 301 Blvd W , Bradenton , FL , 34205",1st Street,0.0533314861248809,45 mph,1st Street West,0.0917856474646212,35 mph,1st Street East,0.101318169498046,35 mph,Cortez Road,0.188479753506479,35 mph,37th Avenue East,0.550141026387341,30 mph,,,
"Big Danu0027s Columbia , 1027 Elmwood Ave , Columbia , SC , 29201",Elmwood Avenue,0.0222462297825145,35 mph,Assembly Street,0.0358398928000462,35 mph,Kinard Street,0.0680650613183386,25 mph,Calhoun Street,0.127103171253036,35 mph,Main Street,0.130769949615639,35 mph,,,
"Big Danu0027s Crystal River , 517 NE 5th St , Crystal River , FL , 34429",Northeast 5th Street,0.0193415744113747,45 mph,Suncoast Boulevard,0.0407470084021931,40 mph,Gulf to Lake Highway,0.845064806553402,45 mph,,,,,,,,,
"Big Danu0027s Dale Mabry , 7510 N Dale Mabry Hwy , Tampa , FL , 33614",North Dale Mabry Highway,0.030019481001867,45 mph,Unnamed Road,0.034772896382118,45 mph,West Broad Street,0.0434314589765908,25 mph,West Kirby Street,0.0733153246031586,25 mph,West Hamilton Avenue,0.182413847185662,25 mph,,,
