full_site_address,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",48,0.0524103961993761,0.462158092636709,0.471351506726696,0.557142541830449,0.57212228703935,0.734204200111379,0.787344570865128,0.792751123019746,0.831970155634256,0.958288619387844
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",63,0.101023827298142,0.149797049389549,0.183639269501333,0.233795270809616,0.332456711219498,0.402394391905053,0.549013672570781,0.603317812855829,0.73806603660097,0.895394138121837
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",50,0.0927837969156849,0.427618381513724,0.472978601054419,0.563450859528177,0.571978587648729,0.615377941581284,0.6744577405407,0.6879030984776,0.704309733194335,0.706298361960449
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",14,0.15035106917904,0.169993996726213,0.491303314322792,0.55782820624163,0.626811113304353,0.63680360579961,0.665592622898718,0.695958371433673,0.709589079846037,1.13976967717545
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",59,0.13105312103855,0.403263489109941,0.461177132879035,0.464903703260487,0.476190223085382,0.50819161882201,0.637601152397381,0.668726434279994,0.670487418797914,0.71272271133798
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",81,0.226554282057542,0.312431344547333,0.366009223780286,0.402285352909007,0.510770092303167,0.613246905993999,0.623962197947092,0.640054998569687,0.706883908530432,0.713268711170319
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",5,0.145223770481896,0.176662394813277,0.21189481372339,0.876806648996714,0.911750910569861,,,,,
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",41,0.0291538568364078,0.177906654544892,0.336647529209738,0.39691798192122,0.438958419515136,0.511697148565984,0.579911786011389,0.605151060548411,0.777569541190858,0.817198421914696
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",29,0.128614778606146,0.200674983121311,0.216604529835937,0.383708032565162,0.495595863058514,0.632479404942928,0.740137844630528,0.792531435915053,0.841610371376561,0.879445077750801
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",49,0.0190936532543522,0.262939041635933,0.338292769895744,0.370933076684567,0.433694208516765,0.464932593302092,0.493557131201468,0.525026206050061,0.556612348059539,0.622735481083028
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",10,0.211522274304158,0.220941368514473,0.696552574481416,0.784978282088484,0.788177706113457,0.796574195893196,0.974725643180535,1.32340814436466,1.55848463083407,1.60161537518045
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",4,0.128080482578132,0.162598789675893,0.544056745071732,0.682147185196144,,,,,,
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",19,0.0826496202752566,0.752398699382112,0.985565043824158,1.14151430537833,1.14603976320024,1.27923609772461,1.28943206958702,1.31895788322564,1.32419774380856,1.38956702035748
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",57,0.153589617899688,0.252149949368402,0.411361871639574,0.474731325213745,0.539609817771584,0.563370781414856,0.593080790163822,0.615602368345258,0.661734430632413,0.763194235176807
"AUTO WASH EXPRESS , 4060 MONTROSE ROAD , NIAGARA FALLS , ON , L2H1J9",41,0.0902854795588496,0.0942510145744731,0.0995521712688317,0.29513964536292,0.309037155888077,0.406771465896226,0.605739186322133,0.650045512517465,0.698736928251855,0.812524075395096
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",30,0.144587505591198,0.252165646884785,0.264038051843324,0.301289389256621,0.430828496354917,0.514369849749023,0.551194773292751,0.665800967783452,0.721319936234051,0.87527412521276
"Adore Car Wash , 771-789 Barwon Heads Rd , Armstrong Creek , VIC , 3217",4,0.381261513284328,1.23028315834886,1.53798151064815,1.65307952528474,,,,,,
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",9,0.221173311718854,0.32803140688572,0.432446673439051,0.51008274171341,0.559926547029992,0.715462168219916,1.25070729397993,1.53264961148259,1.77909101798394,
"Aladdin Car Wash , 1616 S 57th St , Temple , TX , 76504",46,0.349121139810289,0.432167923937618,0.511455838593106,0.54045968948884,0.555024427675502,0.582848515895637,0.585659178120786,0.705344253133071,0.729023136037052,0.877427602809593
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",25,0.0633890555755517,0.142691267689116,0.35188065208537,0.63181378322199,0.643026418677714,0.85253385469084,0.909266535350986,0.963290796144178,0.973033337681078,1.0393140258805
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",12,0.0979101943968163,0.397927189054185,0.857974855811545,1.24940330087706,1.2825596428148,1.42935126956014,1.45814777136121,1.48925783213107,1.67241167685093,1.69701368904224
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",19,0.143521337714616,0.399763279134982,0.588770542390502,0.659220932092233,0.807730551786772,0.82322714179607,1.14349965736913,1.21939994851857,1.34757564358292,1.4072106140423
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",18,0.0354964759968276,0.225717170603867,0.276500886568397,0.520738862675557,0.578631175948161,0.646203679396002,0.704883158322541,0.715829399636805,0.782917741023686,0.86026917516125
"All American Bulverde , 22247 Bulverde Rd , San Antonio , TX , 78259",22,0.0843220953078722,0.307876069871122,0.50483820804932,0.666695150846155,0.683708452919989,0.983388181471225,1.02093153434325,1.16400720386848,1.18252679964432,1.18464374376089
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",25,0.0719485821824163,0.214882207270803,0.223796706700852,0.318482745278434,0.374722447461578,0.397964223189435,0.472573280354608,0.509275533911262,0.560962380636058,0.567865170034847
"All American Dezavala , 4242 De Zavala Rd , San Antonio , TX , 78249",34,0.0735610695495378,0.192426006089485,0.506430971576637,0.905421486516126,0.926649677728375,1.01941426323998,1.06040380912876,1.10691731161318,1.17094939630153,1.26782326248452
"All American Kitty Hawk , 1024 Kitty Hawk Rd , Universal City , TX , 78148",41,0.0781457420727537,0.137692204597707,0.225980716658449,0.290956114597227,0.451891120299346,0.604018316131441,0.727396771875336,0.731985007858478,0.804427735237367,0.881926633108599
"All American Ou0027Connor , 11331 Ou0027Connor Rd , San Antonio , TX , 78233",31,0.166278286109199,0.714897954787218,0.949103425027859,0.977308600638619,1.01014074720157,1.03429384077076,1.04278075911341,1.10531099738669,1.17622385659736,1.20474663545753
"All American Vance Jackson , 4343 Vance Jackson Rd , San Antonio , TX , 78230",69,0.067169741384148,0.124600579557612,0.193878985685288,0.247947777743831,0.291577687786836,0.454450014086348,0.481099386765688,0.523560786355711,0.591391041421228,0.59617189521305
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",23,0.0273429979217603,0.124826732947736,0.274555769824418,0.538180296380108,0.624845540515567,0.644419771494372,0.645681496234233,0.729643807769871,0.74642035457571,0.959381402285533
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",25,0.0684134089058536,0.0970146077776604,0.16152805770595,0.188835241481995,0.231122842014472,0.287393898010352,0.302316025499006,0.302960488654412,0.450300628698048,0.458797703310161
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",16,0.0577955893424395,0.395681899909341,0.414870008811095,0.440278284666116,0.467569278630493,0.610576219753965,0.655092723474161,0.861090491939227,0.88454876509972,1.13571434334458
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",31,0.111787562279299,0.233612762970238,0.468790550215608,0.52484039502225,0.627027241176753,0.677586185153081,0.680501695036053,0.751970892881958,0.75344384553574,0.771287732875439
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",68,0.041186743159237,0.208565018858865,0.22497592484296,0.282133775644393,0.329189890174121,0.432803137077354,0.519587050046235,0.538771202465988,0.624707081642366,0.634428512846984
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",49,0.0801024004404853,0.21201918957629,0.221505017870425,0.252085329741767,0.415746961149818,0.466338478241192,0.46786880625934,0.479995966816581,0.502955299918442,0.503782413826569
"Aloha Car Wash Bothell , 17818 Bothell Everett Hwy , Bothell , WA , 98012",28,0.114219173028209,0.349611070918734,0.534672552679342,0.970726039695077,1.00936401474983,1.10326470769704,1.10422300188603,1.13080072607082,1.17197967076357,1.18929608646757
"Aloha Car Wash Woodinville , 13001 NE 177th Pl , Woodinville , WA , 98072",50,0.0393755670612228,0.0702756692934727,0.178351049537081,0.239116232371414,0.262966639046693,0.497068665433353,0.512357651041806,0.549285342219344,0.620838131759947,0.62324938559523
"Alpine Express , 2235 Alpine Blvd , Alpine , CA , 91901",6,0.0705586559742277,0.572025302863053,0.762037752793382,0.814329281044638,0.831675512385713,0.954893293829155,,,,
"Alpine Wash , 250 S Denton Tap Rd , Coppell , TX , 75019",36,0.263799071276824,0.356133781112364,0.422427463482307,0.57338126091076,0.612858468656107,0.662864944685688,0.860009077733614,0.86895404903813,0.89947472955191,1.01720253295949
"Alton Town Center , 5200 Donald Ross Rd , Palm Beach Gardens , FL , 33418",17,0.16070970128788,0.390349596886249,0.469024214671096,0.662415926965267,0.776665203888589,0.78926130668457,0.919374108693479,1.02764617602977,1.27422843715113,1.30471996300232
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",15,0.0583086943409997,0.284531596201378,0.784539823458678,1.24930828347475,1.28254669618102,1.30679596013032,1.38449447732308,1.40380776113696,1.45265683546194,1.55437280664084
"American Pride Garner , 1421 US-70 , Garner , NC , 27529",37,0.240047604632164,0.264684686309492,0.358004613026146,0.375959344934329,0.437311122869498,0.460349274595353,0.484909290172973,0.591302003822345,0.629410687252633,0.649403457359745
"American Pride Glenwood , 6450 Glenwood Ave , Raleigh , NC , 27612",31,0.0353600030188746,0.181127092172794,0.392573713930224,0.405776939794679,0.416062108028563,0.421322955628144,0.496138622640421,0.617888131785818,0.6855812832745,0.750391310970579
"American Pride Newbern , 3810 New Bern Ave , Raleigh , NC , 27610",36,0.127496324829864,0.368675051055,0.383747479927534,0.545934107751295,0.660945197265142,0.681843619575654,0.720412859695416,0.722045176376422,0.82976710823604,0.91146935912685
"American Pride Six Forks , 8909 Six Forks Rd , Raleigh , NC , 27615",29,0.0868769029311863,0.117069878714451,0.263512070269092,0.263928121874055,0.315013289518325,0.326906323660593,0.544265078280678,0.634405953666347,0.79661283037698,1.12427945300145
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",27,0.0697002957977897,0.0817264889592174,0.248254616281168,0.390858400728337,0.764990290584407,0.791724002506455,0.812761191103228,0.926236814289051,0.951934214569162,0.976112899589485
"Annau0027s Car Wash , 2332 Legacy Circle , Elizabeth , CO , 80107",3,0.659014862902383,0.882023872562444,1.65918205172377,,,,,,,
"Apple Wu0026L , 22355 Bellaire Blvd , Richmond , TX , 77407",16,0.0288091324900436,0.132153661179752,0.193966489904426,0.781967462435333,0.80910345964654,0.832353625126427,0.858197222309245,1.5031258265862,1.53933328307538,1.60020354236091
"Aqua Blue , 85 Peachtree Industrial Blvd , Sugar Hill , GA , 30518",1,1.229461875059,,,,,,,,,
"Aqua Blue Duluth , 1097 Duluth Hwy , Lawrenceville , GA , 30043",29,0.0847487793771659,0.354993111397683,0.425612833837234,0.546845623048657,0.557889918102829,0.700662943075918,0.780628559590285,0.79085981731388,0.98993695108381,1.01198402130164
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",30,0.0915161124164299,0.0936823877092268,0.171759488008779,0.339010945314323,0.349488714997996,0.387992621757346,0.525470002474097,0.532726380272459,0.656146691482895,0.74208494081553
"Aqua Bubble Car Wash , 5860 Bethelview Rd , Cumming , GA , 30040",17,0.159647385175204,0.419977356130925,0.46172578165086,0.540806249395361,0.571193588396116,0.670673518527923,0.720772918584321,0.912468816312622,1.04682487664723,1.06621401999516
"Arco Wash , 4433 Lancaster Dr NE , Salem , OR , 97305",38,0.0354006133960678,0.396942874235266,0.438722875188979,0.459203454043623,0.461933596349182,0.480091603921133,0.53748187233147,0.691967410337797,0.848423904260338,0.970548049676278
"Atlantic Blvd , 8714 Atlantic Blvd , Jacksonville , FL , 32211",34,0.125362536315089,0.20517954800841,0.404668876010266,0.405485470770104,0.433503988639482,0.575974740476038,0.727812800759037,0.729387196576388,0.780014376741791,0.802156531970371
"Atlantic Express , 7700 Atlantic Ave , Cudahy , CA , 90201",145,0.0178689674438868,0.139750086602783,0.175314778111916,0.31513630229014,0.339481044084879,0.389941350917148,0.428783495727508,0.461104285390372,0.463302060682961,0.470497335635381
"Auto Paradise Car Wash , 1402 E Vine St , Kissimmee , FL , 34744",40,0.199409429443733,0.531410736569761,0.71565928343588,0.756555412673444,0.824204401236727,0.847908738532218,0.908938323194649,0.950668832845258,0.960582007913231,0.965279033661036
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",48,0.269995321884097,0.324542687100143,0.849659792434677,0.923596404345076,0.947122674800084,1.00857189944305,1.34436424151479,1.35755591450407,1.36240721050472,1.38163736762079
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",29,0.225760479044566,0.258735555316897,0.26333884876411,0.285235033680561,0.300234955750898,0.343713696197271,0.364654077485162,0.375801572359654,0.429965038802715,0.513057796084686
