folderName,fileName,model response,model Identification
1287_DEER_PARK_CAR_WASH__1287_Deer_Park_Ave__North_Babylon__NY__11703,ChIJLUX-hkws6IkRK_ZDw-74JmI.png,"Yes, there is a tunnel wash facility visible at the Deer Park Car Wash in the image. The building has a long, translucent-roofed section, which is characteristic of a car wash tunnel.",Yes
,ChIJPZPx_6ot6IkRJV1mXUqwBLk.png,"Yes, the image shows a building with clear entry and exit points for cars to drive through, indicating a tunnel wash facility.",Yes
,ChIJd0QNua8t6IkRhDsVLolDeUM.png,"Yes, the image shows a long, rectangular building that appears to be a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Car Wash
Bubble Brush Self Service Car Wash
Deer Park Car Wash Inc",
26_WEISS_GUYS_EXPRESS__13820_N_40TH_STREET__PHOENIX__AZ__85032,ChIJ0RgDmjpyK4cRGLHyUrVzWkk.png,"Yes, the image shows a long, rectangular building which is indicative of a tunnel wash facility.",Yes
,ChIJ2Q1dGSRzK4cR_NzdVdQ4jAg.png,"Yes, the image shows a long, rectangular structure covered by blue panels, which is characteristic of a tunnel wash facility. There are clear entry and exit points visible.",Yes
,ChIJ874Sh8tzK4cRnDHD-MbhtBU.png,"Yes, the car wash has a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Elephant Car Wash
PV Car Wash
Wash Tubb",
27_WEISS_GUYS_EXPRESS__8365_W_McDowell_Rd__Tolleson__AZ__85353,ChIJAbnuFWUVK4cRWV7lpmd5Ejo.png,"Yes, there is a tunnel wash facility.",Yes
,ChIJfQniqYAVK4cRBurvadGj8GA.png,"Yes, the image shows a long, rectangular building which appears to be a tunnel wash facility.",Yes
,ChIJt3j-KFcUK4cR0aJKdJ0QSuA.png,"Yes, the facility appears to be a tunnel wash designed for trucks, as evidenced by the long building structure with vehicles entering one end and likely exiting the other, which is characteristic of a tunnel wash operation.",Yes
,ChIJu7dy6tc_K4cRiBloCioLLmU.png,"Yes, the image shows a long, enclosed building structure with apparent entry and exit points typical of a tunnel wash facility, consistent with the ""Express Wash"" part of the business name.",Yes
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
Raceway Express Car Wash

Competitors not found in CSV:
Super Shine Express Wash and Self Serve Car and Dog Wash
Super Star Car Wash (83rd Ave & Mcdowell)
Blue Beacon Truck Wash of Tolleson, AZ
Circle K | Car Wash",
28_WEISS_GUYS_EXPRESS__121_E_Van_Buren_St__St._Avondale__AZ__85323,ChIJ5XikAtw4K4cRlJJUYSjtCCQ.png,"No, there is no visible tunnel wash facility in the satellite image. The labeled location appears to be a residential property with a driveway, and there is no structure resembling a car wash tunnel.",No
,ChIJJV130s44K4cRTCH0M9GZ5nU.png,"Yes, the image shows a rectangular structure with clear entry and exit points typical of a tunnel wash facility.",Yes
,ChIJWR1FtsU4K4cR4pY9H3XEzZw.png,"Yes, the car wash facility shown in the image appears to have at least one tunnel wash. There are two long, rectangular structures visible, which are consistent with the appearance of a car wash tunnel with clear entry and exit points for vehicles to drive through.",Yes
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
Elephant Car Wash
Super Star Car Wash | Full-Service Location
J's driveway carwash",
330_S._Broadway_Lawrence__330_S_Broadway__Lawrence__MA__1843,ChIJETHvSsYH44kR4aglybbyC-8.png,"Yes, the image shows a long rectangular building labeled as a car wash facility, which is consistent with the structure of a tunnel car wash.",Yes
,ChIJf8SztH4H44kR_7NAYBDwy_0.png,"No, there is no visible tunnel wash facility in the provided satellite image. The location marked ""Jay's car wash services"" appears to be a residential property with a driveway and a small detached garage or shed, neither of which is a car wash tunnel.",No
,ChIJmxVqJ10H44kRFUEvj5dqe6I.png,"No, there is no visible tunnel wash facility in the provided satellite image. The image shows several auto service, repair, and detailing businesses, but none of the structures match the description of a car wash tunnel.",No
,ChIJpyUbV7oH44kRxQ-fLec-FlA.png,"Yes, there appears to be a tunnel wash facility.",Yes
,matching_results.txt,"Total competitors found in CSV: 1

Competitors found in CSV:
Haffner's Car Wash

Competitors not found in CSV:
Haffner's Gentle Touch Car Wash
Jay's car wash services
NR PRESTIGE AUTO DETAILING CO.
Haffner's Gas Station and Car Wash",
360_Car_Wash__180_South_US-175__Seagoville__TX__75159,ChIJ58gLJj2xToYRQvNoHBXrKU4.png,"Yes, the image shows a building that appears to be a tunnel wash facility, with vehicles queued and entering/exiting a long structure.",Yes
,ChIJE_w_TgCxToYRy3GFNnHVDnU.png,"No, there is no car wash facility depicted in the image, and thus no tunnel wash.",No
,ChIJHxQqHWSxToYR2lx_uOhD8Ro.png,"No, the car wash facility visible in the image appears to be a building with multiple bays, which is typical of a self-serve or in-bay automatic car wash, not a tunnel wash facility. A tunnel wash is a longer structure designed for cars to drive or be pulled through.",No
,ChIJIeC83tSwToYRSK-jop82xCs.png,"Yes, the building labeled ""Hartis' Car Wash"" appears to be a tunnel wash facility.",Yes
,ChIJW2iDRyixToYRvTNatGyiYdU.png,"Yes, the image shows a structure consistent with a tunnel car wash facility.",Yes
,ChIJZ9WmTtqwToYRB6ncbICIRfY.png,"Yes, the image shows a long, rectangular building labeled ""G Wash Seagoville"" with apparent entry and exit points, which indicates a tunnel wash facility.",Yes
,ChIJd1weUWyxToYRcrEUtJ8OhKQ.png,"No, there is no visible tunnel wash facility in the image. The building is labeled ""Seagoville Express Lube & Auto Care"" and does not appear to have a tunnel structure designed for car drive-through washing.",No
,ChIJtbVpYl6xToYRLmhKx6SNzbA.png,"No, the image does not show a tunnel wash facility. The visible structure appears to be for hand car washing, potentially with individual bays, rather than an enclosed drive-through tunnel.",No
,matching_results.txt,"Total competitors found in CSV: 0

Competitors not found in CSV:
360 CarWash
Gonzalez Hand Car Wash
Chato's carwash
Car Wash
Extreme Lava Wash
Hartis' Car Wash
Bryan mobile detailing
G Wash Seagoville",
4th_u0026_Douglas__5301_4th_Street_NW__Albuquerque__NM__87107,ChIJ-bu6s3BzIocR_HzQGX2Mcjc.png,"Yes, the image shows a tunnel car wash facility. The long, rectangular structure is consistent with the description of a tunnel wash with apparent entry and exit points.",Yes
,ChIJ7XBLam9zIocRM0j8dSA3Nsg.png,"Yes, the image shows a long, rectangular structure with visible entry and exit points, which is consistent with a tunnel wash facility.",Yes
,ChIJW4DHaW9zIocRdAg8HxawdA4.png,"Yes, the image shows a long, rectangular structure labeled ""CARWASH"" and ""Century Car Wash"", which appears to be a tunnel wash facility.",Yes
,ChIJXSJdrXBzIocRXJpVibfFOKk.png,"Yes, the image shows a long, rectangular structure next to the ""Circle K | Car Wash"" label, which appears to be a tunnel wash facility with clear entry and exit points for cars to drive through.",Yes
