full_site_address,Latitude,Longitude,total_precipitation_mm,rainy_days,total_snowfall_cm,snowy_days,days_below_freezing,total_sunshine_hours,days_pleasant_temp,avg_daily_max_windspeed_ms
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,1319.41,121.6,17.409,10,49.1,3163.83829694444,126.1,15.496726251965
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,326.92,48.1,23.555,13.6,59.6,3751.91870083333,131.4,24.5658020061382
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,1347.06,118.1,4.382,1.5,12.3,3207.53625027778,140.2,16.9007478104649
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,1314.13,139.4,0.371,0.1,3.3,3385.14440111111,166.1,19.3680150460364
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,1408.98,130.8,2.135,1.5,23.1,3244.37197888889,151.6,14.4838500636275
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,234.58,43.2,30.408,19,76.1,3815.4837075,113,21.1649679616738
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,280.43,60.7,75.096,42.4,199.7,3846.62031361111,106.2,17.3418353170148
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,431.19,57.5,8.561,4.2,29.3,3649.91054861111,130.4,24.7637534246575
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,983.44,114.3,1.897,1.2,7.8,3223.33147194444,161.5,18.3089280634778
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,1169.61,118.5,25.095,17.4,71.7,3092.55043416667,126.8,17.722312149113
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,1273.25,151.6,59.269,38,87.1,2863.06917555556,142.9,16.0559015644884
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,1271.81,158.9,101.458,57.7,108,2779.72957944444,137.1,17.8153015195748
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,1334.77,153.9,62.279,40.2,83.3,2839.51486,142.4,15.9683312373681
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,1205.49,161.5,110.915,58.5,114.6,2829.95627611111,137.3,18.6590098061232
