full_site_address,Latitude,Longitude,total_precipitation_mm,rainy_days,total_snowfall_cm,snowy_days,days_below_freezing,total_sunshine_hours,days_pleasant_temp,avg_daily_max_windspeed_ms
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",33.6124699,-111.9964852,298.66,34.3,0.462,0.8,1.9,3854.32130111111,124,18.752276068568
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,235.71,28.7,0,0,2.2,3871.77800777778,118.2,16.4858215435287
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",33.4489878,-112.348446,232.44,29.5,0,0,3.4,3871.71599611111,118.2,15.9734692716521
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,1319.41,121.6,17.409,10,49.1,3163.83829694444,126.1,15.496726251965
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",40.7407849,-73.3208867,1292.18,126.5,61.383,19.9,62.8,3075.83695666667,134.9,21.5990669211767
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,1169.01,120.2,111.902,34.6,104,2920.80130361111,120.2,17.6068193727075
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,1409.65,114.2,2.821,2.2,15.6,3206.645045,134.9,20.1711961973202
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,244.33,46.3,30.555,19.2,75.8,3823.55016333333,115.1,21.3420198368141
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,326.92,48.1,23.555,13.6,59.6,3751.91870083333,131.4,24.5658020061382
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,1271.89,121.1,1.827,1.1,7.6,3236.08720277778,141,19.9951651321207
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,1286.38,120.6,1.764,1,7.4,3235.04006416667,141.4,20.0433417171944
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,1347.06,118.1,4.382,1.5,12.3,3207.53625027778,140.2,16.9007478104649
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",34.0855409,-84.16081,1605.2,138.1,4.935,2.3,28.8,3152.52942416667,160,16.0012727749083
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",44.9209521,-93.1360538,961.61,108.1,92.379,53.3,138.5,2992.95365305556,122.9,18.3066083539187
"AUTO WASH EXPRESS , 4060 MONTROSE ROAD , NIAGARA FALLS , ON , L2H1J9",43.1134283,-79.1236384,998.01,138.9,96.894,59,108.7,2920.34987972222,132.7,20.4221508346433
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,1314.13,139.4,0.371,0.1,3.3,3385.14440111111,166.1,19.3680150460364
"Adore Car Wash , 771-789 Barwon Heads Rd , Armstrong Creek , VIC , 3217",-38.2318383,144.3744484,578.3,98.4,0.014,0.1,0,3226.01338638889,159.4,23.1024477131522
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,1408.98,130.8,2.135,1.5,23.1,3244.37197888889,151.6,14.4838500636275
"Aladdin Car Wash , 1616 S 57th St , Temple , TX , 76504",31.088884,-97.3780292,1064.58,105.9,2.464,1.5,10,3249.38612833333,139.2,20.8297755820046
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,234.58,43.2,30.408,19,76.1,3815.4837075,113,21.1649679616738
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,280.43,60.7,75.096,42.4,199.7,3846.62031361111,106.2,17.3418353170148
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,431.19,57.5,8.561,4.2,29.3,3649.91054861111,130.4,24.7637534246575
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,983.44,114.3,1.897,1.2,7.8,3223.33147194444,161.5,18.3089280634778
"All American Bulverde , 22247 Bulverde Rd , San Antonio , TX , 78259",29.6478912,-98.4270091,1085.54,121.5,1.47,1.2,6.4,3213.25791,156,17.8475231679018
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,1169.61,118.5,25.095,17.4,71.7,3092.55043416667,126.8,17.722312149113
"All American Dezavala , 4242 De Zavala Rd , San Antonio , TX , 78249",29.57502,-98.5669201,1055.13,120,1.512,1.1,6.1,3189.47692694444,152.5,18.4470694662774
"All American Kitty Hawk , 1024 Kitty Hawk Rd , Universal City , TX , 78148",29.5453319,-98.3168978,1129.37,120.4,1.281,1.1,6.1,3193.14048416667,149.2,18.9268900366794
"All American Ou0027Connor , 11331 Ou0027Connor Rd , San Antonio , TX , 78233",29.560052,-98.3636131,1129.37,120.4,1.281,1.1,6.3,3193.14048416667,150,18.9268900366794
"All American Vance Jackson , 4343 Vance Jackson Rd , San Antonio , TX , 78230",29.5147542,-98.5357639,1028.37,114.9,1.442,1,4.9,3217.13595361111,147.5,19.2099772438057
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,1273.25,151.6,59.269,38,87.1,2863.06917555556,142.9,16.0559015644884
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,1271.81,158.9,101.458,57.7,108,2779.72957944444,137.1,17.8153015195748
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,1334.77,153.9,62.279,40.2,83.3,2839.51486,142.4,15.9683312373681
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,1205.49,161.5,110.915,58.5,114.6,2829.95627611111,137.3,18.6590098061232
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,1304.18,153.7,59.297,37.6,83.2,2845.20343833333,142,16.3401735908376
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,1361.33,161.2,61.761,40,86.3,2853.34882472222,150.2,15.7211013548918
"Aloha Car Wash Bothell , 17818 Bothell Everett Hwy , Bothell , WA , 98012",47.8359328,-122.2121577,1310.55,159.4,45.332,24,43.3,2809.47686222222,110,14.4716501235122
"Aloha Car Wash Woodinville , 13001 NE 177th Pl , Woodinville , WA , 98072",47.7553696,-122.1661391,1232.35,153.1,35.714,19,23.1,2791.38885583333,118.7,17.1184297477356
"Alpine Express , 2235 Alpine Blvd , Alpine , CA , 91901",32.8352883,-116.7654836,579.45,53.9,3.78,1.8,2.9,3771.76046722222,178.7,14.8158472939591
"Alpine Wash , 250 S Denton Tap Rd , Coppell , TX , 75019",32.9641433,-96.9930085,1344.92,107.1,3.08,2.6,15.4,3249.82660666667,131.9,22.0294569204282
"Alton Town Center , 5200 Donald Ross Rd , Palm Beach Gardens , FL , 33418",26.8819403,-80.1164588,1469.37,188.7,0,0,0,3551.33587333333,171.8,18.7382465004866
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,770.51,88.8,50.799,26.2,103.3,3287.51508,115.1,22.6452405120144
"American Pride Garner , 1421 US-70 , Garner , NC , 27529",35.722175,-78.64549,1290.22,127.5,11.683,4.4,32.7,3189.89953972222,141.9,15.6529151134067
"American Pride Glenwood , 6450 Glenwood Ave , Raleigh , NC , 27612",35.858959,-78.7056567,1288.99,126.7,12.915,4.9,33.4,3184.94625222222,142.2,15.6690142226215
"American Pride Newbern , 3810 New Bern Ave , Raleigh , NC , 27610",35.79766,-78.5752657,1310.08,128,12.117,4.8,33.8,3167.60808027778,139.7,15.7311726177109
"American Pride Six Forks , 8909 Six Forks Rd , Raleigh , NC , 27615",35.9021523,-78.6532466,1271.9,124.1,12.558,5.1,35.6,3151.35810444444,144.5,15.490702447788
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,1278.87,127.5,8.092,3.8,34.1,3195.19602194444,141.9,16.5377664495846
"Annau0027s Car Wash , 2332 Legacy Circle , Elizabeth , CO , 80107",39.3604653,-104.6205128,488.76,84.9,134.078,55.7,155.2,3649.472175,125.1,20.7018852459016
"Apple Wu0026L , 22355 Bellaire Blvd , Richmond , TX , 77407",29.6913423,-95.7670162,1558.64,150.1,0.637,0.6,4.6,3198.61217888889,150.8,19.4504748109888
"Aqua Blue , 85 Peachtree Industrial Blvd , Sugar Hill , GA , 30518",34.0762511,-84.0602463,1568.48,136.9,4.571,2.3,27.4,3141.81788388889,157.4,15.8935096189835
"Aqua Blue Duluth , 1097 Duluth Hwy , Lawrenceville , GA , 30043",33.9686995,-84.0368456,1555.04,137.3,4.004,2.1,28.5,3162.1839325,156.7,16.522836664421
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,1482.88,135.8,5.453,3.1,29.5,3179.5493925,148.2,15.239779923647
"Aqua Bubble Car Wash , 5860 Bethelview Rd , Cumming , GA , 30040",34.1666588,-84.177562,1606.91,139.3,6.734,3,28,3164.02199111111,156.6,15.5134995134366
"Arco Wash , 4433 Lancaster Dr NE , Salem , OR , 97305",44.9834269,-122.9838017,1185.48,137.6,22.568,14.2,33.4,2988.14843333333,123.4,17.0581662549592
"Atlantic Blvd , 8714 Atlantic Blvd , Jacksonville , FL , 32211",30.3135949,-81.565618,1288.35,152,0,0,1.7,3456.13555861111,174.1,18.5222280110787
"Atlantic Express , 7700 Atlantic Ave , Cudahy , CA , 90201",33.9654069,-118.1865354,370.84,32.6,0.329,0.2,0.4,3660.37037777778,237.1,19.8016072310802
"Auto Paradise Car Wash , 1402 E Vine St , Kissimmee , FL , 34744",28.30373,-81.388079,1576.99,166,0,0,0.2,3451.55164666667,169.2,16.5610860842877
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,1157.79,126.8,58.702,24.6,89.6,2959.82687083333,129.7,16.6981768844973
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,1211.86,123.5,16.296,6.1,40.2,3152.46222944444,139.3,15.4863053372258
"Autobahn Auto Care Center , 3928 W Clearwater Ave , Kennewick , WA , 99336",46.21267,-119.1737336,273.5,62.7,25.508,18.1,66.9,3325.82390388889,104.9,17.4189950595104
"Autobahn Express , 1225 Guyer Ave , Richland , WA , 99352",46.2830987,-119.2748079,246.89,59.2,24.563,18.8,69.2,3351.25759666667,105.2,16.9272856501235
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,1088.03,104,36.624,18,78.3,3186.95130722222,119.8,19.1754408264092
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,1317.63,124.1,0.462,0.4,14.2,3282.35509055556,153.4,14.9060667714649
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,1543.58,165.6,0,0,0.2,3441.96114972222,170.5,16.2984438206453
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,269.99,53.7,51.723,31.1,124.7,3807.85329305556,114.7,20.9023551164009
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,1447.85,124.3,2.793,1.1,12,3186.26216277778,146.2,15.2462050303166
"BBCW , 6603 Jog Rd , Boca Raton , FL , 33496",26.4084521,-80.1469143,1698.63,197.4,0,0,0,3567.89550194444,164.5,19.4982560820421
