full_site_address,Latitude,Longitude,display_name,actual_latitude,actual_longitude,nearby_businesses_count,business_names
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",33.6124699,-111.9964852,Elephant Car Wash,33.612646999999996,-111.99632779999999,3,"Circle K, Bitcoin Depot - Bitcoin ATM, Patterson Property Inspections"
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,Super Shine Express Wash and Self Serve Car and Dog Wash,33.4647961,-112.2396162,2,"Waffle House, Beautiful Food Truck"
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",33.4489878,-112.348446,Elephant Car Wash,33.4493898,-112.3483073,3,"Tacos El Number One, Jiffy Lube, Word of Life Christian Center"
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,STONEWASH CAR CARE CENTER,36.7325312,-88.6330322,4,"Milliner Orthodontics, Rainbo Car Wash, Twice but Nice consignment, Mayfield/Graves Co Art Guild"
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",40.7407849,-73.3208867,Car Wash,40.7407849,-73.3208867,3,"Babylon True Value Hardware, Milk N' Things, AutoZone Auto Parts"
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,Haffner's Gentle Touch Car Wash,42.689071899999995,-71.1580982,3,"Amazon Locker - Edoardo, Family Dollar, S Broadway & Inman Street"
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,360 CarWash,32.6470894,-96.5308254,0,
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,Champion Xpress Carwash,35.1361208,-106.6422324,0,
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,A-Key Car Wash,34.4211501,-103.1969689,1,Kelley's Bar & Grill
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,Aggieland Express Car Wash,30.605501,-96.307524,0,
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,Aggieland Express Car Wash,30.55192,-96.26714199999999,0,
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,ERROR,ERROR,ERROR,ERROR,ERROR
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",34.0855409,-84.16081,Aloha Car Wash,34.0855409,-84.16081,1,Express Car Wash
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",44.9209521,-93.1360538,Soapy Joe's Car Wash,44.9209521,-93.13605380000001,1,Saint Paul Firefighters IAFF Local 21
"AUTO WASH EXPRESS , 4060 MONTROSE ROAD , NIAGARA FALLS , ON , L2H1J9",43.1134283,-79.1236384,Valet Car Wash (Niagara Falls North),43.1137769,-79.1226168,5,"Brockway Mini Storage | Niagara Falls Storage, Mojito House, New Leaf Autism & ABA, Niagara Falls Dance, Gloss 'n Blink Nails Salon Niagara Falls"
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,LUV Car Wash,31.9856125,-81.1327189,1,Jiffy Lube
"Adore Car Wash , 771-789 Barwon Heads Rd , Armstrong Creek , VIC , 3217",-38.2318383,144.3744484,Adore The Car Wash,-38.2318383,144.3744484,1,Bottlemart Armstrong Creek
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,Alabaster Car Wash,33.2331449,-86.81162959999999,1,Alabaster Fire Department Firehouse 3
"Aladdin Car Wash , 1616 S 57th St , Temple , TX , 76504",31.088884,-97.3780292,Aladdin Car Wash,31.088884,-97.3780292,0,
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,Champion Xpress Carwash,35.1891633,-106.616062,7,"David Montoya Construction, Record My Research, Southwest Elite Properties, Beyond Diabetes, Consumer51, Zia Commodities, 4th @ Alameda"
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,Champion Xpress Carwash,37.4765318,-105.8944942,0,
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,All American Car Wash,32.2284353,-101.473089,0,
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,All American Car Wash,29.7768476,-98.726846,0,
"All American Bulverde , 22247 Bulverde Rd , San Antonio , TX , 78259",29.6478912,-98.4270091,All American Car Wash,29.648324000000002,-98.4263623,2,"Chase ATM, Chase Bank"
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,All American Car Wash and Express Lube,38.6808632,-87.5201897,4,"Lydia's Flowers, Grundman Shoes, Flourish Integrative Health, Camilette Rhea"
"All American Dezavala , 4242 De Zavala Rd , San Antonio , TX , 78249",29.57502,-98.5669201,All American Car Wash,29.574478499999998,-98.56759290000001,0,
"All American Kitty Hawk , 1024 Kitty Hawk Rd , Universal City , TX , 78148",29.5453319,-98.3168978,All American Car Wash,29.545266599999998,-98.3172903,1,Dutch Bros Coffee
"All American Ou0027Connor , 11331 Ou0027Connor Rd , San Antonio , TX , 78233",29.560052,-98.3636131,ERROR,ERROR,ERROR,ERROR,ERROR
"All American Vance Jackson , 4343 Vance Jackson Rd , San Antonio , TX , 78230",29.5147542,-98.5357639,All American Car Wash,29.514756100000003,-98.5353007,2,"Silver Scissors Beauty Salon, Fiesta Mexicana"
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,All Washed Up Auto Spa,40.2614149,-80.17475019999999,0,
