full_site_address,Latitude,Longitude,car_wash_name,distance_from_original_location,car_wash_address,nearest_business_name_1,nearest_business_address_1,distance_car_wash_nearest_business_1,nearest_business_name_2,nearest_business_address_2,distance_car_wash_nearest_business_2,nearest_business_name_3,nearest_business_address_3,distance_car_wash_nearest_business_3,nearest_business_name_4,nearest_business_address_4,distance_car_wash_nearest_business_4,nearest_business_name_5,nearest_business_address_5,distance_car_wash_nearest_business_5,multiple_business_count
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",33.6124699,-111.9964852,Elephant Car Wash,0.015223780526219803,"13820 N 40th St, Phoenix, AZ 85032, USA",Circle K,"13802 N 40th St, Phoenix, AZ 85032, USA",0.022822795616950112,Bitcoin Depot - Bitcoin ATM,"13802 N 40th St, Phoenix, AZ 85032, USA",0.024539324675218462,Patterson Property Inspections,"13614 N 38th Pl, Phoenix, AZ 85032, USA",0.03173501810350049,40th St & Thunderbird Rd,"Phoenix, AZ 85032, USA",0.040008775167613066,Thunderbird Rd & 40th St,"Phoenix, AZ 85032, USA",0.04786788747376313,0
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,Super Shine Express Wash and Self Serve Car and Dog Wash,0.006837598025458909,"8365 W McDowell Rd, Tolleson, AZ 85353, USA",Waffle House,"8325 W McDowell Rd, Tolleson, AZ 85353, USA",0.022668448271728082,Beautiful Food Truck,"8367 W McDowell Rd, Phoenix, AZ 85035, USA",0.02792217901326765,Fascinations,"8367 W McDowell Rd, Tolleson, AZ 85353, USA",0.036453231354171854,Redbox,"8303 W McDowell Rd, Tolleson, AZ 85353, USA",0.04434449427354648,Dr Cravings,"8367 W McDowell Rd, Tolleson, AZ 85353, USA",0.05493094739865697,0
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",33.4489878,-112.348446,Elephant Car Wash,0.028903879530528493,"121 E Van Buren St, Avondale, AZ 85323, USA",Tacos El Number One,"115 E Van Buren St, Avondale, AZ 85323, USA",0.028354342382947446,Jiffy Lube,"115 E Van Buren St, Avondale, AZ 85323, USA",0.030581688187566614,Word of Life Christian Center,"1425 N Central Ave, Avondale, AZ 85323, USA",0.02958343068290572,Van Buren St & Central Av,"Avondale, AZ 85323, USA",0.03652381124779624,Budget Truck Rental,"205 E Van Buren St, Avondale, AZ 85323, USA",0.036690582605175895,0
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,STONEWASH CAR CARE CENTER,0.0,"820 Paris Rd, Mayfield, KY 42066, USA",Milliner Orthodontics,"822 Paris Rd, Mayfield, KY 42066, USA",0.012238670976620451,Rainbo Car Wash,"800 Paris Rd, Mayfield, KY 42066, USA",0.02954535433382528,Twice but Nice consignment,"825 Paris Rd, Mayfield, KY 42066, USA",0.031649313744894686,Mayfield/Graves Co Art Guild,"825 Paris Rd, Mayfield, KY 42066, USA",0.031649313744894686,Supercell,"827 Paris Rd, Mayfield, KY 42066, USA",0.037745530841115024,0
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",40.7407849,-73.3208867,Car Wash,0.0,"1287 Deer Park Ave, North Babylon, NY 11703, USA",Babylon True Value Hardware,"1289 Deer Park Ave, North Babylon, NY 11703, USA",0.012246192153304624,Milk N' Things,"1287A Deer Park Ave, North Babylon, NY 11703, USA",0.023646836276259034,AutoZone Auto Parts,"1295 Deer Park Ave, North Babylon, NY 11703, USA",0.024013938898549882,Intoxalock Ignition Interlock,"1285 Deer Park Ave, North Babylon, NY 11703, USA",0.04076912260529353,American Cell Phone Repair,"1285 Deer Park Ave, North Babylon, NY 11703, USA",0.04134637774935074,0
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,Haffner's Gentle Touch Car Wash,0.013297807127720268,"330 S Broadway, Lawrence, MA 01843, USA",Amazon Locker - Edoardo,"Family DOllar, 322 S Broadway, Lawrence, MA 01843, USA",0.025550099103658793,Family Dollar,"322 S Broadway, Lawrence, MA 01843, USA",0.028057564188315526,S Broadway & Inman Street,"Lawrence, MA 01843, USA",0.027738760336281455,Geico Auto Repair Xpress,"10 Inman St, Lawrence, MA 01843, USA",0.03741342624509789,A&M Auto Body Inc.,"341 S Broadway, Lawrence, MA 01843, USA",0.03932774861888456,0
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,360 CarWash,0.0,"180 S Hwy 175, Seagoville, TX 75159, USA",Panda Express,"160 US-175, Seagoville, TX 75159, USA",0.03808588280586081,Starbucks,"140 S Hwy 175, Seagoville, TX 75159, USA",0.06288639640273992,Ria Money Transfer - Walmart,"220 S Hwy 175, Seagoville, TX 75159, USA",0.07101423330388684,Minute Key,"220 US-175 Frontage Rd, Seagoville, TX 75159, USA",0.07110786365177255,Tractor Supply Co.,"190 S Crestview Dr, Seagoville, TX 75159, USA",0.09495320726356571,0
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,Champion Xpress Carwash,0.0006631392018614908,"5301 4th St NW, Albuquerque, NM 87107, USA",Piñon Coffee House,"5222 4th St NW, Albuquerque, NM 87107, USA",0.05184222382627855,Bob's Burgers,"5230 4th St NW, Albuquerque, NM 87107, USA",0.052833593596506974,4th @ Berry,"Albuquerque, NM 87107, USA",0.05522926077167382,Chisholm Doug DDS,"5308 4th St NW, Albuquerque, NM 87107, USA",0.05853077588925915,Dr. Matthew Thomas,"5308 4th St NW, Albuquerque, NM 87107, USA",0.06013209804779144,0
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,A-Key Car Wash,0.0,"2210 N Prince St, Clovis, NM 88101, USA",Kelley's Bar & Grill,"2208 N Prince St, Clovis, NM 88101, USA",0.02193350564357238,RightSpace Self Storage,"2220 N Prince St, Clovis, NM 88101, USA",0.03919718043807798,Rose Nails,"2121 N Prince St, Clovis, NM 88101, USA",0.052292085219103036,Leal's Mexican Food Restaurant,"2115 N Prince St, Clovis, NM 88101, USA",0.05555373746970182,KFC,"2120 N Prince St, Clovis, NM 88101, USA",0.05964832678190359,0
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,Aggieland Express Car Wash,0.11979965294874968,"2528 Texas Ave S, College Station, TX 77840, USA",40 Tempura Sushi Restaurant,"2551 Texas Ave S Suit D, College Station, TX 77840, USA",0.0649030508921152,Days Inn by Wyndham Bryan College Station,"2514 Texas Ave S, College Station, TX 77840, USA",0.06395384079158688,Cutler 2,"2551 Texas Ave S Suite E, College Station, TX 77840, USA",0.06698352973848493,"Empowerment Med: Chloe Ntaimo, MD","2551 Texas Ave S Suite B, College Station, TX 77840, USA",0.0676596031441072,The Door College Station,"2551 Texas Ave S Suite H, College Station, TX 77840, USA",0.0684953229592208,0
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,Aggieland Express Car Wash,1.5139868889980945e-12,"1900 Greens Prairie Rd, College Station, TX 77845, USA",The Angry Elephant,"650 William D. Fitch Pkwy Suite 500, College Station, TX 77845, USA",0.05066927810444189,"Inhale Smoke, Vape, CBD, Kratom & Accessories","650 William D. Fitch Pkwy Suite 300, College Station, TX 77845, USA",0.06063615593086994,Shipley Do-Nuts,"1760 Greens Prairie Rd, College Station, TX 77845, USA",0.09862250557784312,Sunoco,"1780 Greens Prairie Rd, College Station, TX 77845, USA",0.1185211272249863,Layne's Chicken Fingers- College Station,"1780 Greens Prairie Rd, College Station, TX 77845, USA",0.1313586851889288,0
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,,,,,,,,,,,,,,,,,,,0
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",34.0855409,-84.16081,Aloha Car Wash,0.0,"5360 Laurel Springs Pkwy, Suwanee, GA 30024, USA",Express Car Wash,"5360 Laurel Springs Pkwy, Suwanee, GA 30024, USA",0.009879198096701755,CVS Pharmacy,"5370 Laurel Springs Pkwy, Suwanee, GA 30024, USA",0.03907319023521135,CVS Photo,"5370 Laurel Springs Pkwy, Suwanee, GA 30024, USA",0.03907319023521135,CVS,"5370 Laurel Springs Pkwy, Suwanee, GA 30024, USA",0.03907319023521135,MinuteClinic at CVS,"5370 Laurel Springs Pkwy, Suwanee, GA 30024, USA",0.03907319023521135,1
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",44.9209521,-93.1360538,Soapy Joe's Car Wash,6.224251548781102e-13,"1340 7th St W, St Paul, MN 55102, USA",Saint Paul Firefighters IAFF Local 21,"882 7th St W Suite 5, St Paul, MN 55116, USA",0.02474160501210952,Barber Mug Barber Shop,"1364 7th St W, St Paul, MN 55102, USA",0.04660438222582249,Wildflyer Coffee - Saint Paul,"1362 7th St W, St Paul, MN 55102, USA",0.0499839944274032,Seventh Landing Apartments,"1360 7th St W, St Paul, MN 55102, USA",0.061221070136112894,Dr. Jefferey Ruhlmann DDS,"1371 W, 1371 7th St W, St Paul, MN 55102, USA",0.06268441856147353,0
"AUTO WASH EXPRESS , 4060 MONTROSE ROAD , NIAGARA FALLS , ON , L2H1J9",43.1134283,-79.1236384,Valet Car Wash (Niagara Falls North),0.05687967240239325,"4060 Montrose Rd, Niagara Falls, ON L2H 3E1, Canada",Brockway Mini Storage | Niagara Falls Storage,"4050 Montrose Rd, Niagara Falls, ON L2H 3E1, Canada",0.017493299505943048,Mojito House,"4030 Montrose Rd, Niagara Falls, ON L2H 3E1, Canada",0.03175270601395993,New Leaf Autism & ABA,"4030 Montrose Rd Unit 3, Niagara Falls, ON L2H 3E1, Canada",0.02927278466594614,Niagara Falls Dance,"4030 Montrose Rd, Niagara Falls, ON L2H 3E1, Canada",0.02927278466594614,Gloss 'n Blink Nails Salon Niagara Falls,"4030 Montrose Rd Unit 5, Niagara Falls, ON L2H 3E1, Canada",0.03264055214477007,0
