site name,latitude,longitude,number of nearby carwashes,distance from nearest carwash,rating of nearest carwash,user rating count for nearest carwash
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",33.6124699,-111.9964852,2,0.88 miles,3.5,90
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,4,0.17 miles,4.5,780
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",33.4489878,-112.348446,2,0.41 miles,4.1,1818
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,4,0.03 miles,4.1,51
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",40.7407849,-73.3208867,2,0.48 miles,4.2,199
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,4,0.27 miles,N/A,N/A
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,7,0.13 miles,4.7,22
"4th & Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,5,0.20 miles,4,258
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,7,0.24 miles,4.3,24
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,5,0.40 miles,3,3
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,4,0.62 miles,4.2,239
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,0,N/A,N/A,N/A
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",34.0855409,-84.16081,2,0.01 miles,4.6,12
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",44.9209521,-93.1360538,2,0.84 miles,4.5,37
"AUTO WASH EXPRESS , 4060 MONTROSE ROAD , NIAGARA FALLS , ON , L2H1J9",43.1134283,-79.1236384,6,0.10 miles,3.3,64
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,6,0.16 miles,5,1
"Adore Car Wash , 771-789 Barwon Heads Rd , Armstrong Creek , VIC , 3217",-38.2318383,144.3744484,2,0.23 miles,5,1
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,1,0.83 miles,N/A,N/A
"Aladdin Car Wash , 1616 S 57th St , Temple , TX , 76504",31.088884,-97.3780292,2,0.28 miles,1.2,19
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,1,0.31 miles,4.3,183
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,1,0.87 miles,3.7,6
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,4,0.46 miles,3.6,138
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,5,0.38 miles,4.2,132
"All American Bulverde , 22247 Bulverde Rd , San Antonio , TX , 78259",29.6478912,-98.4270091,0,N/A,N/A,N/A
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,5,0.06 miles,4.3,3
"All American Dezavala , 4242 De Zavala Rd , San Antonio , TX , 78249",29.57502,-98.5669201,5,0.48 miles,2.9,17
"All American Kitty Hawk , 1024 Kitty Hawk Rd , Universal City , TX , 78148",29.5453319,-98.3168978,3,0.85 miles,4.1,946
"All American O'Connor , 11331 O'Connor Rd , San Antonio , TX , 78233",29.560052,-98.3636131,0,N/A,N/A,N/A
"All American Vance Jackson , 4343 Vance Jackson Rd , San Antonio , TX , 78230",29.5147542,-98.5357639,3,0.27 miles,4,136
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,2,0.64 miles,3.9,163
"All Washed Up Dubois , 306 Liberty Blvd , DuBois , PA , 15801",41.1205763,-78.758636,4,0.12 miles,3.9,89
"All Washed Up Harmar , 2404 Freeport Rd , Pittsburgh , PA , 15238",40.5336038,-79.8458897,2,0.57 miles,4.9,687
"All Washed Up Johnstown , 1119 Scalp Ave , Johnstown , PA , 15904",40.281186,-78.8627293,4,0.26 miles,3.9,77
"All Washed Up Munhall , 630 William Marks Dr , Homestead , PA , 15120",40.4096318,-79.8993024,1,0.83 miles,N/A,N/A
"All Washed Up Uniontown , 15 New Salem Rd , Uniontown , PA , 15401",39.9105773,-79.7474519,2,0.04 miles,3.2,123
"Aloha Car Wash Bothell , 17818 Bothell Everett Hwy , Bothell , WA , 98012",47.8359328,-122.2121577,1,0.76 miles,3,2
"Aloha Car Wash Woodinville , 13001 NE 177th Pl , Woodinville , WA , 98072",47.7553696,-122.1661391,3,0.08 miles,2.3,9
"Alpine Express , 2235 Alpine Blvd , Alpine , CA , 91901",32.8352883,-116.7654836,0,N/A,N/A,N/A
"Alpine Wash , 250 S Denton Tap Rd , Coppell , TX , 75019",32.9641433,-96.9930085,1,0.22 miles,2.9,56
"Alton Town Center , 5200 Donald Ross Rd , Palm Beach Gardens , FL , 33418",26.8819403,-80.1164588,0,N/A,N/A,N/A
"Amaranth , 200 W Amaranth Ln , Lincoln , NE , 68523",40.7445062,-96.7255223,0,N/A,N/A,N/A
"American Pride Garner , 1421 US-70 , Garner , NC , 27529",35.722175,-78.64549,4,0.06 miles,3.8,739
"American Pride Glenwood , 6450 Glenwood Ave , Raleigh , NC , 27612",35.858959,-78.7056567,3,0.07 miles,2.8,104
"American Pride Newbern , 3810 New Bern Ave , Raleigh , NC , 27610",35.79766,-78.5752657,3,0.03 miles,4.6,116
"American Pride Six Forks , 8909 Six Forks Rd , Raleigh , NC , 27615",35.9021523,-78.6532466,1,0.16 miles,N/A,N/A
"American Pride Smithfield , 1203 N Brightleaf Blvd , Smithfield , NC , 27577",35.5195152,-78.3146416,1,0.61 miles,4.1,262
"Anna's Car Wash , 2332 Legacy Circle , Elizabeth , CO , 80107",39.3604653,-104.6205128,1,0.69 miles,N/A,N/A
"Apple W&L , 22355 Bellaire Blvd , Richmond , TX , 77407",29.6913423,-95.7670162,2,0.11 miles,4.7,171
"Aqua Blue , 85 Peachtree Industrial Blvd , Sugar Hill , GA , 30518",34.0762511,-84.0602463,0,N/A,N/A,N/A
"Aqua Blue Duluth , 1097 Duluth Hwy , Lawrenceville , GA , 30043",33.9686995,-84.0368456,2,0.53 miles,3.9,904
"Aqua Breeze Car Wash , 150 E Felton Rd , Cartersville , GA , 30120",34.1971313,-84.7921299,2,0.37 miles,4.2,259
"Aqua Bubble Car Wash , 5860 Bethelview Rd , Cumming , GA , 30040",34.1666588,-84.177562,3,0.30 miles,4.3,447
"Arco Wash , 4433 Lancaster Dr NE , Salem , OR , 97305",44.9834269,-122.9838017,1,0.96 miles,3.7,55
"Atlantic Blvd , 8714 Atlantic Blvd , Jacksonville , FL , 32211",30.3135949,-81.565618,4,0.46 miles,4.7,435
"Atlantic Express , 7700 Atlantic Ave , Cudahy , CA , 90201",33.9654069,-118.1865354,6,0.40 miles,3.6,485
"Auto Paradise Car Wash , 1402 E Vine St , Kissimmee , FL , 34744",28.30373,-81.388079,3,0.36 miles,N/A,N/A
"Auto Suds Express West , 25th North 25th St. , Lebanon , PA , 17042",40.3402231,-76.4568065,2,0.41 miles,3.6,22
"AutoBrite Express , 211 N Cooper Dr , Henderson , NC , 27536",36.3328772,-78.4411117,4,0.32 miles,3.1,8
"Autobahn Auto Care Center , 3928 W Clearwater Ave , Kennewick , WA , 99336",46.21267,-119.1737336,10,0.27 miles,3.4,38
"Autobahn Express , 1225 Guyer Ave , Richland , WA , 99352",46.2830987,-119.2748079,5,0.49 miles,N/A,N/A
"Autosoak , 18711 S Gardner Rd , Gardner , KS , 66030",38.7887778,-94.9270292,3,0.34 miles,1.8,44
"Autosport Car Wash , 6628 Whittlesey Blvd , Columbus , GA , 31909",32.549643,-84.9331716,2,0.85 miles,3.2,91
"Avatar , 1623 S Poinciana Blvd , Kissimmee , FL , 34758",28.257958,-81.485298,0,N/A,N/A,N/A
"Aztec , 1520 Aztec Blvd , Aztec , NM , 87410",36.8263159,-108.0119144,2,0.08 miles,3,2
"B3 Car Wash , 611 Tenaha St , Center , TX , 75935",31.8038311,-94.1867481,2,0.35 miles,4.4,47
"BBCW , 6603 Jog Rd , Boca Raton , FL , 33496",26.4084521,-80.1469143,3,0.00 miles,3.5,178
"BDP's Kwapa Car Wash , 3200 W Casino Dr , Somerton , AZ , 85350",32.6101385,-114.6549997,0,N/A,N/A,N/A
"BELMONT CAR WASH , 5594 E Belmont Ave , Fresno , CA , 93727",36.7500846,-119.7007336,2,0.56 miles,4.5,174
"BIG STEVES CAR WASH , 561 North Main St , Leominster , MA , 1453",42.55114,-71.7638088,0,N/A,N/A,N/A
"BUCKEYE CAR WASH , 4521 KENNY RD , COLUMBUS , OH , 43220",40.0523949,-83.0503492,2,0.74 miles,4.1,222
"Balboa , 7959 Balboa Ave , San Diego , CA , 92111",32.8214387,-117.1518383,14,0.31 miles,4.5,617
"Bamboo Carwash , 240 Marketplace Blvd , Dawsonville , GA , 30534",34.3494093,-84.050791,1,0.36 miles,4.3,617
"Baymeadows , 9491 Baymeadows Rd , Jacksonville , FL , 32256",30.2220392,-81.5612917,4,0.07 miles,4.2,26
"Beach & Hodges , 13940 Beach Blvd , Jacksonville , FL , 32224",30.2870332,-81.4500219,5,0.46 miles,4.5,1094
"Beach Bum Express , 7602 El Camino Real , Carlsbad , CA , 92009",33.0875427,-117.2684842,3,0.00 miles,3.8,29
"Bella Stone Car Wash , 2413 Palermo Parkway , Temple , TX , 76502",31.0378299,-97.3912928,0,N/A,N/A,N/A
"Benton - Congo Rd , 2620 Congo Rd , Benton , AR , 72019",34.5891943,-92.5698083,1,0.36 miles,2.3,8
"Bentonville - S Walton Blvd , 1005 S Walton Blvd , Bentonville , AR , 72712",36.361368,-94.21604,2,0.08 miles,3.9,731
"Bentonville - SW Regional Airport Rd , 1907 SW Regional Airport Blvd , Bentonville , AR , 72712",36.3357334,-94.2349041,0,N/A,N/A,N/A
"Berwick , 5702 Ogeechee rd , Savannah , GA , 31322",32.0285169,-81.2226747,1,0.58 miles,4.8,92
"Big Dan's Acworth , 3150 Blue Springs Rd , Kennesaw , GA , 30144",34.0296049,-84.6478307,5,0.45 miles,4.9,22
"Big Dan's Albany , 375 N Slappey Blvd , Albany , GA , 31701",31.5807782,-84.176539,2,0.78 miles,4.2,25
"Big Dan's Bradenton 14th St , 6310 14th St W , Bradenton , FL , 34207",27.4289973,-82.5762552,1,0.76 miles,N/A,N/A
"Big Dan's Bradenton 301 , 118 301 Blvd W , Bradenton , FL , 34205",27.4668065,-82.5638053,7,0.30 miles,3.4,5
"Big Dan's Columbia , 1027 Elmwood Ave , Columbia , SC , 29201",34.0130109,-81.0412645,1,0.28 miles,4.8,21
"Big Dan's Crystal River , 517 NE 5th St , Crystal River , FL , 34429",28.8986604,-82.5859672,2,0.66 miles,4.3,51
"Big Dan's Dale Mabry , 7510 N Dale Mabry Hwy , Tampa , FL , 33614",28.0171106,-82.5055576,5,0.34 miles,3.8,917
"Big Dan's Decatur , 6024 Covington Hwy , Decatur , GA , 30035",33.72409,-84.171848,3,0.60 miles,2.6,10
"Big Dan's Fairburn , 7925 Senoia Rd , Fairburn , GA , 30213",33.5396761,-84.5776059,4,0.15 miles,3.4,66
"Big Dan's Hiram , 2850 Jimmy Lee Smith Pkwy , Hiram , GA , 30141",33.9019157,-84.77816,2,0.63 miles,3.8,328
"Big Dan's John Young Pkwy , 12600 S John Young Pkwy , Orlando , FL , 32837",28.5429238,-81.4135987,6,0.57 miles,4.5,2
"Big Dan's Lady Lake , 135 US-441 , Lady Lake , FL , 32159",28.9187793,-81.9229062,2,0.45 miles,4.3,304
"Big Dan's Lakewood Ranch , 10615 SR 64E , Bradenton , FL , 34212",27.4117037,-82.4285151,0,N/A,N/A,N/A
"Big Dan's OBT , 6107 S Orange Blossom Trl , Orlando , FL , 32809",28.4685191,-81.3961588,5,0.39 miles,5,8
"Big Dan's Pinellas Park , 8201 US Hwy 19 N , Pinellas Park , FL , 33781",27.846899,-82.6884098,3,0.41 miles,4.2,139
"Big Dan's Rome , 18 Shorter Ave NW , Rome , GA , 30165",34.2623872,-85.1847893,0,N/A,N/A,N/A
"Big Dan's Tarpon Springs , 39522 US Hwy 19 N , Tarpon Springs , FL , 34689",28.0029467,-82.7294505,0,N/A,N/A,N/A
"Big Dan's Toccoa , 2421 GA 17Alt , Toccoa , GA , 30577",34.5655692,-83.29788,2,0.37 miles,4.4,265
"Big Dan's Woodstock , 289 Ridgewalk Pkwy , Woodstock , GA , 30188",34.1195579,-84.5192049,0,N/A,N/A,N/A
"Big Dan's Woodstock 2 , 300 Gold Creek Trail , Woodstock , GA , 30188",34.086258,-84.466738,2,0.80 miles,4.2,65
"Big DanÃ¢â‚¬â„¢s Bradenton , 5225 24th St E , Bradenton , FL , 34203",27.448152,-82.5335489,2,0.80 miles,3.8,32
"Big Kahuna CW , 61 Commodore St , Hazard , KY , 41701",37.299364,-83.2012171,1,0.76 miles,3.9,16
"Big Peach Conyers , 1935 Hwy 138 SE , Conyers , GA , 30013",33.671567,-83.982096,3,0.11 miles,N/A,N/A
"Big Peach Forsyth , 126 N Lee St , Forsyth , GA , 31029",33.0404585,-83.9400952,3,0.13 miles,4.8,4
"Big Peach Gray Hwy , 965 Gray Hwy , Macon , GA , 31211",32.8535469,-83.618337,2,0.61 miles,3.3,9
"Big Peach Griffin , 1710 Zebulon Rd , Griffin , GA , 30224",33.1943204,-84.2838876,0,N/A,N/A,N/A
"Big Peach Hardeman , 1820 Hardeman Ave , Macon , GA , 31201",32.8410142,-83.647132,2,0.87 miles,3.8,106
"Big Peach Jackson , 583 E 3rd St , Jackson , GA , 30233",33.2947224,-83.9602247,2,0.21 miles,4.6,8
