Company Name,Car wash name,matches
Whistle Express Car Wash,#26 WEISS GUYS EXPRESS,0
Mister Car Wash,#27 WEISS GUYS EXPRESS,0
Tidal Wave Auto Spa,#28 WEISS GUYS EXPRESS,0
ZIPS Car Wash,*** StoneWash *** Car Care Center,0
Quick Quack Express Car Wash,1287 DEER PARK CAR WASH,0
Club Car Wash,330 S. Broadway Lawrence,0
Tommy�s Express Car Wash,360 Car Wash,0
Spotless Brands,4th u0026 Douglas,0
GO Car Wash,A-KEY CAR WASH,0
Mammoth Holdings LLC,AGGIELAND EXPRESS #2,0
WhiteWater Express Car Wash,AGGIELAND EXPRESS,0
ModWash,ALL STAR CAR WASH,0
Express Wash Concepts,ALOHA CAR WASH,0
Super Star Car Wash,AMERICAN CAR WASH,0
Autobell Car Wash,AUTO WASH EXPRESS,0
LUV Car Wash,Abercorn,0
Summit Wash Holdings,Adore Car Wash,0
True Blue Car Wash,Alabaster Wash and Wax,0
Splash Car Wash,Aladdin Car Wash,0
Caliber Car Wash,Alameda,0
BlueWave Express Car Wash,Alamosa,0
El Car Wash,All American Big Spring,0
Splash in ECO Car Wash,All American Boerne,0
Golden Nozzle Car Wash,All American Bulverde,0
Champion Xpress Carwash,All American Car Wash,1
Crew Carwash,All American Dezavala,0
Sam's Xpress Car Wash,All American Kitty Hawk,0
Jax Kar Wash,All American Ou0027Connor,0
Terrible Herbst,All American Vance Jackson,0
Big Dan's Car Wash,All Washed Up Canonsburg,0
Mr. Clean Car Wash,All Washed Up Dubois,0
Raceway Express Car Wash,All Washed Up Harmar,0
Sparkling Image Car Wash,All Washed Up Johnstown,0
Wash N' Roll,All Washed Up Munhall,0
Rich's Car Wash,All Washed Up Uniontown,0
Mike's Car Wash,Aloha Car Wash Bothell,0
Surf Thru Express Car Wash,Aloha Car Wash Woodinville,0
Watershed Carwash,Alpine Express,0
WetGo Car Wash,Alpine Wash,0
Delta Sonic,Alton Town Center,0
The Wash Tub,Amaranth,0
Gas N Wash,American Pride Garner,0
Hurricane Express Wash,American Pride Glenwood,0
Brown Bear Car Wash,American Pride Newbern,0
Waterway Carwash,American Pride Six Forks,0
Hoffman Car Wash,American Pride Smithfield,0
Quick N Clean,Annau0027s Car Wash,0
ClearWater Express Wash,Apple Wu0026L,0
Thoroughbred Express Auto Wash,Aqua Blue,0
Trademark Car Wash,Aqua Blue Duluth,0
Rocket Carwash,Aqua Breeze Car Wash,0
