full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,accessibility_score,rationale
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,36.7325312,-88.6330322,STONEWASH CAR CARE CENTER,8,"The car wash sits directly on Paris Road, a multi‐lane arterial with a center turn lane, so customers can pull in and out from both northbound and southbound directions without detouring. The single curb cut into the shared lot is clearly visible from the main road and located at a gentle curve, making it intuitive to spot. Although the driveway is shared with an adjacent orthodontist, it isn’t embedded in a larger, confusing shopping‐center circulation and doesn’t compete with other heavy-turnover uses at the same entry point. Surrounding uses—including a fast-food restaurant just to the south—do create busier turning movements during peak periods, but the dedicated turn lane on Paris Road and the site’s prominent frontage keep access largely direct and unambiguous. These factors point to good accessibility with only minor potential conflicts, meriting an 8 out of 10."
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,34.4211501,-103.1969689,A-Key Car Wash,7,"The car wash sits one block off the four-lane arterial (Prince Street), accessed via Ross Street. There is no median on Prince Street, so drivers can make direct turns onto Ross Street in either direction. From Ross Street, the dedicated driveway into the car wash is clearly visible and marked, with no shared entrances to confuse customers. The overall environment is a busy commercial corridor, so left-turns from Prince Street onto Ross Street (and then into the site) can be somewhat challenging during peak flow, but the path is straightforward and does not require navigating additional roads or complex intersections. These factors yield a ‘good’ score of 7 out of 10."
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,32.6003451,-93.841208,,5,"The site sits on a four-lane divided arterial (State Route 1) in a busy commercial corridor. It has one clearly defined, dedicated curb cut onto the highway that is highly visible to drivers, but it is not located at the nearest signalized intersection (Gary Pl) and there is no median break at the driveway. As a result, eastbound drivers can only make a right-in/right-out, while westbound drivers must overshoot the entrance, U-turn at Gary Pl, then come back to enter—similarly, exiting customers cannot turn left toward the east without a U-turn. There is no shared driveway conflict with adjacent uses, but the multi-lane road, continuous median, and heavy cross-traffic create moderate constraints on ease of entry and exit."
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,31.9856125,-81.1327189,LUV Car Wash,6,"The car wash sits on the west side of a major divided arterial (Abercorn St) but does not have its own direct curb cut on that road; instead customers must turn off Abercorn into W Magnolia Avenue and then immediately turn again into the lot. The single driveway on Magnolia is clearly signed and visible, but is shared with an adjacent Jiffy Lube/retail pad and is located just off a signalized intersection. A median on Abercorn prevents direct left‐in/left‐out movements except via the corner signal, so drivers must perform the intersection turn sequence rather than a straight single‐turn entry. The surrounding corridor is a dense, high‐traffic commercial area, which can add delay and competing turning movements at peak times. These factors yield a functional but not seamless entrance and exit configuration."
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,33.2331449,-86.81162959999999,Alabaster Car Wash,5,"Primary Road Access & Visibility: The car wash is located directly on U.S. 31/1st Street South, a busy multi-lane arterial. The single curb cut is highly visible to motorists, but a continuous raised median in front of the site blocks left-turn movements into and out of the property.  Entrance & Exit Complexity: There is one dedicated driveway serving both entry and exit, so there is no shared drive confusion. However, because the median has no break at the curb cut, drivers approaching from the opposite travel direction must overshoot the site and make a U-turn at the next opening, adding time and complexity.  Surrounding Environment & Potential for Conflict: The car wash sits between a fire station on one side and a Shell/Whataburger complex on the other. Traffic queuing into the gas station and fast-food drive-thru can occasionally back up toward the U-turn location, further delaying drivers.  Overall, while the driveway is clear, dedicated, and visible, the inability to make left turns directly and the reliance on a nearby U-turn point on a high-speed highway result in moderate accessibility."
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,35.1891633,-106.616062,Champion Xpress Carwash,5,"The car wash sits directly on a busy 4-lane arterial (Alameda Blvd NW/528) and is highly visible from the main road with a clearly defined loop driveway and curb cuts at each end of the site. However, a raised median on the main road prohibits left turns in and out except via a U-turn at the nearby signalized 4th St NW, adding extra maneuvers for half of arriving or departing customers. The west entrance ties into the adjacent Subway lot, creating a shared drive scenario with potential for conflict or confusion. Surrounding high-volume commercial uses and the arterial’s traffic speeds further complicate left-turn access and can cause delays during peak hours. While direct right-in/right-out access is simple and highly visible, the median restrictions and shared driveway lower overall ease of entry and exit to a moderate level."
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,37.4765318,-105.8944942,Champion Xpress Carwash,7,"The Champion Xpress site is one block off the multi-lane arterial (Craft Drive) on a smaller two-lane local road (Hartman Way). Drivers must turn off Craft Drive onto Hartman Way and then immediately use one of the two dedicated curb cuts to enter/exit the car wash – there is no shared driveway, nor any road‐median blocking left-in or left-out maneuvers. Both the entry and exit are clearly defined on Hartman Way and are visible from passing traffic, although the building is set slightly back from the main intersection so it isn’t directly on Craft Drive. The surrounding area is a busy commercial corridor (hardware store, hotel, restaurants), so there can be intermittent cross-traffic delays on Hartman Way, but no confusing circulation or forced U-turns. Overall this yields good, mostly direct access with only minor drawbacks, meriting a score of 7."
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,32.2284353,-101.473089,All American Car Wash,3,"The car wash sits one parcel south of W Marcy Dr on a narrow side street (Coronado Ave) rather than fronting the multi-lane, divided arterial. To reach it, drivers must first turn off the main road onto Coronado, then immediately turn again into a small unmarked drive that threads behind a row of houses. There is no direct curb cut from W Marcy Dr, and the highway median limits left-turn opportunities for westbound traffic. The entrance is obscured by adjacent residential lots, has minimal visibility or signage from the main road, and shares its approach with private home drives. These factors—indirect routing, hidden driveway, potential confusion with house entrances, and a median barrier—combine to produce consistently poor ingress and egress."
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,29.7768476,-98.726846,All American Car Wash,5,"The car wash sits on a multi‐lane, divided arterial (S Main St) with its driveway opening only onto the adjacent curved connector (Christus Pkwy). As a result, drivers from the north on Main can only turn right onto the connector and then immediately into the wash, while southbound traffic must pass the intersection and perform a U‐turn to approach the entrance. Although the private driveway is clearly demarcated and dedicated to the car wash, the median on Main prevents direct left‐in/left‐out movements, and the small connector road carries other local traffic. The site is in a busy commercial node (near a gas station, fast‐food outlets, and a hotel), which further increases turning conflicts and queuing at peak times. These factors create moderate—but not prohibitive—access constraints, meriting a score of 5."
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,38.6808632,-87.5201897,All American Car Wash and Express Lube,8,"The car wash sits directly on N 7th St, a moderately busy two-lane arterial with no raised median or turn restriction in front of the site, so customers can make a single, direct turn in or out from either direction. The two curb cuts (one on each side of the tunnel building) are clearly distinguished and dedicated to the car wash rather than shared with adjacent storefronts. Although the lot is in a dense commercial corridor with on-street parking and nearby cross-traffic at Harrison and College Avenues, visibility of the entrances is good and there are no physical barriers forcing U-turns or circuitous routing. These minor corner‐proximity and curb-parking considerations keep access from being flawless but still largely straightforward, yielding a good accessibility score of 8."
