full_site_address,Latitude,Longitude,nearby_traffic_lights_count,distance_nearest_traffic_light_1,distance_nearest_traffic_light_2,distance_nearest_traffic_light_3,distance_nearest_traffic_light_4,distance_nearest_traffic_light_5,distance_nearest_traffic_light_6,distance_nearest_traffic_light_7,distance_nearest_traffic_light_8,distance_nearest_traffic_light_9,distance_nearest_traffic_light_10
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",33.6124699,-111.9964852,48,0.052410396199376104,0.4621580926367088,0.4713515067266957,0.5571425418304493,0.57212228703935,0.7342042001113794,0.7873445708651283,0.7927511230197456,0.8319701556342557,0.9582886193878443
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,63,0.10102382729814179,0.14979704938954871,0.18363926950133255,0.233795270809616,0.3324567112194975,0.4023943919050532,0.5490136725707809,0.6033178128558288,0.7380660366009703,0.8953941381218368
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",33.4489878,-112.348446,50,0.09278379691568489,0.42761838151372433,0.4729786010544193,0.5634508595281772,0.5719785876487288,0.6153779415812837,0.6744577405407003,0.6879030984775999,0.7043097331943354,0.7062983619604493
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,14,0.15035106917903984,0.16999399672621276,0.49130331432279184,0.5578282062416298,0.6268111133043528,0.6368036057996095,0.6655926228987181,0.6959583714336733,0.7095890798460369,1.1397696771754533
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",40.7407849,-73.3208867,59,0.13105312103854955,0.40326348910994136,0.46117713287903517,0.4649037032604871,0.4761902230853817,0.5081916188220102,0.6376011523973814,0.6687264342799939,0.6704874187979144,0.7127227113379799
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,81,0.2265542820575419,0.3124313445473326,0.36600922378028594,0.40228535290900724,0.5107700923031665,0.6132469059939987,0.623962197947092,0.6400549985696867,0.7068839085304324,0.7132687111703193
"360 Car Wash , 180 South US-175 , Seagoville , TX , 75159",32.6470894,-96.5308254,5,0.14522377048189622,0.1766623948132765,0.21189481372338978,0.8768066489967143,0.9117509105698607,,,,,
"4th u0026 Douglas , 5301 4th Street NW , Albuquerque , NM , 87107",35.1361115,-106.6422295,41,0.029153856836407793,0.17790665454489166,0.33664752920973773,0.39691798192122024,0.4389584195151355,0.511697148565984,0.5799117860113886,0.605151060548411,0.7775695411908584,0.8171984219146962
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,29,0.12861477860614556,0.20067498312131082,0.21660452983593673,0.3837080325651622,0.4955958630585141,0.6324794049429284,0.7401378446305283,0.7925314359150534,0.841610371376561,0.879445077750801
"AGGIELAND EXPRESS #2 , 2526 Texas Ave , College Station , TX , 77840",30.6045298,-96.3058552,49,0.01909365325435223,0.2629390416359326,0.33829276989574364,0.3709330766845666,0.43369420851676516,0.46493259330209163,0.49355713120146844,0.5250262060500613,0.5566123480595391,0.6227354810830277
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,10,0.21152227430415757,0.22094136851447305,0.6965525744814164,0.7849782820884835,0.7881777061134566,0.7965741958931956,0.9747256431805349,1.3234081443646641,1.5584846308340665,1.601615375180447
