full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,manualClassification,classification,justification
"#26 WEISS GUYS EXPRESS , 13820 N 40TH STREET , PHOENIX , AZ , 85032",33.6124699,-111.9964852,33.612647,-111.9963278,Elephant Car Wash,Inside,Corner,"The Elephant Car Wash is located adjacent to the intersection of N 40th St and E Ludlow Dr. There are visible roads at both the east and south boundaries of the lot, forming a clear corner. N 40th St is a major road with lane markings, and E Ludlow Dr shows road features consistent with a secondary access road. This satisfies the criteria for a Corner Lot."
"#27 WEISS GUYS EXPRESS , 8365 W McDowell Rd , Tolleson , AZ , 85353",33.4647676,-112.2397298,33.4647961,-112.2396162,Super Shine Express Wash and Self Serve Car and Dog Wash,Inside,Corner,"The car wash is situated at the intersection of W Lynwood St and McDowell Rd. These roads are wide and appear as principal roads within the area, meeting the criteria for corner lots. Additionally, the lot has direct access to both W Lynwood St and McDowell Rd, further confirming its corner lot classification."
"#28 WEISS GUYS EXPRESS , 121 E Van Buren St , St. Avondale , AZ , 85323",33.4489878,-112.348446,33.4493898,-112.3483073,Elephant Car Wash,Inside,Inside,"The Elephant Car Wash is located mid-block along W Van Buren St, with no adjacent intersection. It is surrounded by other properties and has access from a single main road, which fulfills the criteria for an Inside Lot."
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,36.7325312,-88.6330322,STONEWASH CAR CARE CENTER,Inside,Corner,"STONEWASH CAR CARE CENTER is positioned at the intersection of Paris Rd and Jones St, which are visibly major roads with lane markings and significant traffic features. The lot has accessible sides facing both roads, forming a corner configuration. This aligns with the criteria for Corner Lot classification."
"1287 DEER PARK CAR WASH , 1287 Deer Park Ave , North Babylon , NY , 11703",40.7407849,-73.3208867,40.7407849,-73.3208867,Car Wash,Inside,Inside,"The car wash is located on Deer Park Avenue, which is a major road based on its width and lane markings. However, it does not appear to be situated at an intersection or a corner formed by two roads. Instead, it's positioned mid-block adjacent to other establishments like Babylon True Value Hardware and Parkway Car Stereo, accessible directly from Deer Park Avenue only. This matches the criteria for an Inside Lot classification."
"330 S. Broadway Lawrence , 330 S Broadway , Lawrence , MA , 1843",42.6891396,-71.1578531,42.6890719,-71.1580982,Haffner's Gentle Touch Car Wash,Inside,Corner,"Haffner's Gentle Touch Car Wash is located at the intersection of two evident main roads, Hawley St and Groton St. This location clearly forms a corner, visible in the images as the roads meet at a noticeable junction. Furthermore, road features like marked crosswalks and lane divisions support the concept of major roads. The lot has access from one side but qualifies as a Corner Lot due to the adjacency to the intersection of two significant roads."
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,34.4211501,-103.1969689,A-Key Car Wash,Inside,Corner,"The images clearly show that 'A-Key Car Wash' is located at a visible intersection between Ross Street and Lexington Road/Prince Street. This constitutes a corner as per the definition. Its lot sits adjacent to both Ross Street and Lexington Road, with visible access from both roads. Ross Street and Lexington Road also appear to be main roads with clear lane markings and significant traffic capacity."
"AGGIELAND EXPRESS , 1900 GREENS PRAIRIE RD , COLLEGE STATION , TX , 77845",30.55192,-96.267142,30.55192,-96.267142,Aggieland Express Car Wash,Inside,Corner,"The 'Aggieland Express Car Wash' is located at the intersection of William D. Fitch Parkway and Greens Prairie Road, as clearly visible in the images. Two major roads connect adjacent to the lot, forming a corner. The lot has accessibility from Greens Prairie Road and possibly William D. Fitch Parkway, meeting the Corner Lot criteria."
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,32.6003451,-93.841208,,Inside,Corner,"The car wash is adjacent to a distinct intersection where Gary Pl meets Highway 1. There is visible road access on two sides of the lot, and the surrounding roads are clearly major roads. The layout matches the criteria for a corner lot, as the intersection forms a clear corner and meets accessibility and road importance requirements."
"ALOHA CAR WASH , 5360 Laurel Springs Pkwy , Suwanee , GA , 30024",34.0855409,-84.16081,34.0855409,-84.16081,Aloha Car Wash,Corner,Corner,"The provided images show that Aloha Car Wash is located near the intersection of Mathis Airport Rd and Ronson Rd. These roads meet at a corner adjacent to the car wash lot. Furthermore, the lot has access from both Mathis Airport Rd and Ronson Rd, confirming its corner location. These roads appear to be of significant width and importance based on visual clues such as markings and nearby establishments, fulfilling the criteria for classification as a Corner Lot."
"AMERICAN CAR WASH , 1340 7th St W , Saint Paul , MN , 55102",44.9209521,-93.1360538,44.9209521,-93.1360538,Soapy Joe's Car Wash,Inside,Corner,"Soapy Joe's Car Wash is located at the junction of Mercer St and Scheffer Ave, where these two roads meet forming a visible corner. Additionally, the lot is adjacent to both roads directly, confirming its classification as a Corner Lot based on the provided criteria."
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,31.9856125,-81.1327189,LUV Car Wash,Corner,Corner,"The presented images show 'LUV Car Wash' situated adjacent to an intersection of Abercorn St and W Magnolia Ave. This positions the lot at a corner, satisfying the Corner Lot criteria. Multiple access points and proximity to visibly major roads further support this classification."
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,33.2331449,-86.8116296,Alabaster Car Wash,Inside,Corner,"The car wash is situated adjacent to and accessible from two intersecting roads, 1st St S and 7th Ave SE. These roads form a visible corner at the northwest section near the lot. Both roads are major and exhibit signs of traffic flow, fulfilling the requirements for a Corner Lot classification."
"Aladdin Car Wash , 1616 S 57th St , Temple , TX , 76504",31.088884,-97.3780292,31.088884,-97.3780292,Aladdin Car Wash,Corner,Corner,"The Aladdin Car Wash is located at the corner intersection of two roads: Ira Young Dr and S 57th St. It is bordered on two sides by these roads, making it accessible and giving it the clear characteristics of a corner lot. This matches the definition that the lot is adjacent to an intersection of two roads at a visible corner."
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,35.1891633,-106.616062,Champion Xpress Carwash,Inside,Inside,"The car wash 'Champion Xpress Carwash' is located along Alameda Blvd NW and does not appear to be adjacent to a significant road intersection or corner. The images show that access is from one main road only, and there are properties and spaces surrounding it rather than roads forming a corner. This satisfies the criteria for an Inside Lot."
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,37.4765318,-105.8944942,Champion Xpress Carwash,Corner,Corner,"The car wash is at the intersection of two roads, Hartman Way and Craft Dr, visible in the images. These roads connect at a corner and provide access to the car wash on at least two sides. The road markings and layout indicate these are significant roads, meeting the criteria for being a corner lot."
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,29.7768476,-98.726846,All American Car Wash,Corner,Corner,"The All American Car Wash is located at the intersection of S Main St and Christus Pkwy, as seen in the images. Two major roads visibly meet adjacent to the lot, forming a corner. The lot has access points directly from these roads, and the roads show signs of being primary and major roads. Therefore, the car wash meets the criteria of a Corner Lot."
