full_site_address,Latitude,Longitude,new_latitude,new_longitude,carwash_name_in_image,classification,justification
"*** StoneWash *** Car Care Center , 818 Paris Rd , Mayfield , KY , 42066",36.7325312,-88.6330322,36.7325312,-88.6330322,STONEWASH CAR CARE CENTER,Inside,"At all zoom levels the car wash site only fronts one major thoroughfare (Paris Rd) and lies mid-block between the Paris Rd & Jones St intersection to the north and Paris Rd & Cleveland St to the south. The only other roads touching the lot (Jones St, Cleveland St and S 3rd St) are narrow local/residential streets, not major multi-lane roads. Because it does not occupy the corner of two primary roads but instead sits between minor cross-streets and faces only Paris Rd, it meets the definition of an Inside Lot."
"A-KEY CAR WASH , 2210 N Prince St , Clovis , NM , 88101",34.4211501,-103.1969689,34.4211501,-103.1969689,A-Key Car Wash,Inside,"At all zoom levels the car wash only directly fronts one high-volume arterial (Prince Street/State Route 209). The street on the opposite side (Ross Street) is a narrower local road, not a multi-lane highway or major cross-arterial. There is no intersection of two primary roads bounding the red-circled lot, so it does not occupy a true corner of two major thoroughfares."
"ALL STAR CAR WASH , 5835 N Market St , Shreveport , LA , 71107",32.6003451,-93.841208,32.6003451,-93.841208,,Inside,"At the red-circled car wash site, only one major road (US 1) runs directly alongside the lot. The adjacent Gary Place is a two-lane local access road rather than a second multi-lane or named highway. There is no intersection of two major roads bounding the property; all other bordering drives are private or service entrances. Therefore, the car wash sits mid-block on a single main thoroughfare and qualifies as an Inside Lot."
"Abercorn , 10509 Abercorn St , Savannah , GA , 31419",31.9858522,-81.1330952,31.9856125,-81.1327189,LUV Car Wash,Corner,"The car wash sits directly at the intersection of two major roads – Abercorn Street (a four-lane state highway) on its east side and W Magnolia Avenue on its north side. Both streets are wide, clearly marked arterial roads with turn lanes and traffic controls. The red-circled lot fronts on both roads, forming a visible corner rather than lying mid-block, which meets the criteria for a Corner Lot."
"Alabaster Wash and Wax , 916 1st St S , Alabaster , AL , 35007",33.2331449,-86.8116296,33.2331449,-86.8116296,Alabaster Car Wash,Inside,"All three views show the car wash directly fronting US-31 (1st St S) but not located at the junction of another major roadway. The only other streets abutting the lot are residential/side streets (10th Ave SE, 11th Ave SE) with single-lane traffic and no turn lanes, signals, or highway shields. No two wide, primary roads form a corner around the red-circled parcel, so it meets the criteria of an Inside Lot rather than a Corner Lot."
"Alameda , 395 Alameda Blvd NW , Albuquerque , NM , 87114",35.1891491,-106.6161158,35.1891633,-106.616062,Champion Xpress Carwash,Corner,"At all zoom levels the car wash sits directly at the intersection of two primary arterials—Alameda Boulevard NW (State Route 528, a multi-lane divided highway) and 4th Street NW (a wide north–south arterial with marked bus stops and turn lanes). The lot has curb cuts onto both of these major roads, and two of its sides face them, forming a visible corner rather than lying mid-block. Lane markings, turn arrows, and bus stops confirm both streets’ primary status, meeting the criteria for a corner lot."
"Alamosa , 51 Craft Dr , Alamosa , CO , 81101",37.4765837,-105.8945442,37.4765318,-105.8944942,Champion Xpress Carwash,Corner,"At all zoom levels the red-circled lot directly abuts the junction of two clearly major, multi-lane thoroughfares: Hartman Way (running east–west) and Craft Drive (running north–south). The car wash has frontage on both streets, with visible turn lanes on Craft Drive and wide curb cuts on Hartman Way. Because it sits at the intersection of these two principal roads, it meets the definition of a corner lot."
"All American Big Spring , 513 W Marcy Dr , Big Spring , TX , 79720",32.2284801,-101.4727633,32.2284353,-101.473089,All American Car Wash,Inside,"The car wash sits along W Marcy Drive (a major highway), but its other street frontage is a narrow residential/service road (Coronado Ave and a frontage/service drive), not a second wide or high‐capacity thoroughfare. There is no intersection of two main roads directly adjacent to the lot – only one major road and one minor access drive – so it does not meet the Corner Lot criteria."
"All American Boerne , 1376 S Main St , Boerne , TX , 78006",29.7768476,-98.726846,29.7768476,-98.726846,All American Car Wash,Corner,"The car wash parcel sits directly at the signalized junction of two major arterial roads—S Main Street and Christus Parkway. Both roadways are wide, multi‐lane thoroughfares with marked turn lanes and a clear intersection adjacent to the red-circled lot. The building and its drive aisles front on both S Main Street and Christus Parkway, meeting the criteria for a Corner Lot."
"All American Car Wash , 917 N 7th St , Vincennes , IN , 47591",38.6808632,-87.5201897,38.6808632,-87.5201897,All American Car Wash and Express Lube,Corner,"The red-circled car wash lies directly at the junction of two major through-streets (College Avenue running north–south and Washington Avenue/N 7th Street running east–west). In all zoom levels you can see both wide roadways meeting adjacent to the lot, complete with turn lanes and crosswalk markings, and the building fronts on both streets. These are not small service drives or alleys but primary roads, so the site clearly occupies a true corner lot."
"All Washed Up Canonsburg , 405 Old Pike St , Canonsburg , PA , 15317",40.2614149,-80.1747502,40.2614149,-80.1747502,All Washed Up Auto Spa,Corner,"All three zoom levels show the car wash lot sitting at the junction of two major roads (Morganza Road and Weavertown Road). At the broadest view (zoom 17) you can clearly see a multi-lane arterial (Morganza Rd) intersecting another wide, signed road (Weavertown Rd) immediately adjacent to the red-circled property. The mid-level zoom (18) shows curb cuts and driveways entering directly onto both roads, and multiple turn lanes and crosswalk markings at the intersection. The tightest zoom (19) confirms the lot faces both main streets at the corner of the ‘V’ they form — it is not mid-block nor simply bound by service drives. These features satisfy the Corner Lot criteria."
